idtimemania;tmmconc;tmmdata;tmmlocal;tmmpremioest;tmmpr07;tmmpr06;tmmpr05;tmmpr04;tmmpr03;tmmprtime;tmmgan07;tmmgan06;tmmgan05;tmmgan04;tmmgan03;tmmgantime;tmmd01;tmmd02;tmmd03;tmmd04;tmmd05;tmmd06;tmmd07;tmmdtime;tmmcidadesgan
394;394;2013-02-16;SÃO PAULO, SP;3.400.000,00;0,00;28.124,18;918,34;6;2;5;0;4;175;3.204;32.322;9.189;17;20;34;45;59;72;74;AMÉRICA/RJ;
395;395;2013-02-20;SÃO PAULO, SP;3.600.000,00;0,00;31.540,67;1.287,37;6;2;5;0;3;105;2.197;24.275;7.252;20;30;36;40;47;49;58;REMO/PA;
396;396;2013-02-23;SÃO PAULO, SP;4.000.000,00;0,00;60.790,11;765,13;6;2;5;0;2;227;4.266;39.856;7.107;3;23;28;31;48;49;63;TUNA LUSO/PA;
397;397;2013-02-27;SÃO PAULO, SP;4.200.000,00;0,00;25.145,04;653,11;6;2;5;0;4;220;3.423;30.676;6.411;1;20;34;45;57;71;72;SERGIPE/SE;
398;398;2013-03-02;SÃO PAULO, SP;4.500.000,00;0,00;60.505,59;955,10;6;2;5;0;2;181;3.724;36.578;7.967;16;47;57;65;73;74;80;PARANÁ/PR;
399;399;2013-03-06;SÃO PAULO, SP;4.900.000,00;0,00;14.196,89;568,63;6;2;5;0;6;214;3.998;37.535;36.861;1;14;19;20;24;29;42;SÃO PAULO/SP;
400;400;2013-03-09;SÃO PAULO, SP;5.300.000,00;0,00;64.299,05;1.055,81;6;2;5;0;2;174;3.709;37.030;7.752;11;42;45;65;68;69;80;SERGIPE/SE;
401;401;2013-03-13;SÃO PAULO, SP;5.600.000,00;0,00;10.848,66;704,45;6;2;5;0;10;220;4.185;40.290;33.024;16;19;24;32;41;65;77;VASCO DA GAMA/RJ;
402;402;2013-03-16;SÃO PAULO, SP;6.000.000,00;0,00;19.654,88;779,95;6;2;5;0;7;252;4.247;40.858;14.999;38;40;53;55;73;77;79;AVAÍ/SC;
403;403;2013-03-20;SÃO PAULO, SP;6.250.000,00;0,00;23.919,27;680,68;6;2;5;0;5;251;3.922;35.622;12.175;8;14;32;46;51;64;67;ATLÉTICO/PR;
404;404;2013-03-23;SÃO PAULO, SP;7.000.000,00;0,00;19.044,38;961,83;6;2;5;0;7;198;3.942;38.698;11.159;7;16;21;26;32;50;62;RIVER/PI;
405;405;2013-03-27;SÃO PAULO, SP;7.100.000,00;0,00;19.825,59;849,66;6;2;5;0;6;200;4.350;41.310;9.628;12;13;22;28;53;66;78;REMO/PA;
406;406;2013-03-30;SÃO PAULO, SP;7.500.000,00;0,00;61.141,02;1.105,62;6;2;5;0;2;158;3.528;36.547;7.251;4;30;32;33;55;65;70;CRB/AL;
407;407;2013-04-03;SÃO PAULO, SP;7.900.000,00;0,00;33.606,85;865,04;6;2;5;0;4;222;4.101;40.588;9.075;6;47;51;63;73;75;77;PALMAS/TO;
408;408;2013-04-06;SÃO PAULO, SP;8.300.000,00;0,00;16.363,33;592,63;6;2;5;0;9;355;5.679;53.020;40.956;9;15;27;31;46;63;75;INTERNACIONAL/RS;
409;409;2013-04-09;SÃO PAULO, SP;8.550.000,00;0,00;17.729,42;830,41;6;2;5;0;4;122;2.384;23.102;13.187;5;34;41;56;64;73;75;BAHIA/BA;
410;410;2013-04-11;SÃO PAULO, SP;9.000.000,00;0,00;15.443,72;664,08;6;2;5;0;9;299;5.491;50.419;14.388;6;10;18;32;33;37;58;ATLÉTICO/PR;
411;411;2013-04-13;SÃO PAULO, SP;9.500.000,00;0,00;17.901,44;714,78;6;2;5;0;9;322;5.177;48.463;14.379;2;15;21;49;54;67;79;ATLÉTICO/GO;
412;412;2013-04-16;SÃO PAULO, SP;9.700.000,00;0,00;63.975,81;1.044,50;6;2;5;0;2;175;3.492;37.289;7.339;10;23;29;39;44;62;70;RORAIMA/RR;
413;413;2013-04-18;SÃO PAULO, SP;10.200.000,00;0,00;58.576,17;1.206,92;6;2;5;0;3;208;4.658;45.481;14.739;31;33;61;64;66;67;76;ITUANO/SP;
414;414;2013-04-20;SÃO PAULO, SP;11.000.000,00;0,00;35.247,71;901,86;6;2;5;0;6;335;6.953;68.001;16.946;13;20;36;40;44;60;79;FIGUEIRENSE/SC;
415;415;2013-04-23;SÃO PAULO, SP;11.600.000,00;0,00;18.487,61;883,63;6;2;5;0;9;269;5.474;55.043;16.322;1;12;35;41;45;54;55;JUVENTUDE/RS;
416;416;2013-04-25;SÃO PAULO, SP;12.000.000,00;0,00;27.103,02;749,99;6;2;5;0;8;413;7.075;66.489;18.529;2;16;27;38;49;56;69;REMO/PA;
417;417;2013-04-27;SÃO PAULO, SP;12.700.000,00;0,00;27.087,94;614,23;6;2;5;0;7;441;6.556;61.228;22.300;16;22;28;36;41;43;44;CORITIBA/PR;
418;418;2013-04-30;SÃO PAULO, SP;13.300.000,00;0,00;26.364,70;797,11;6;2;5;0;8;378;6.433;63.861;19.169;6;25;31;32;39;44;60;NÁUTICO/PE;
419;419;2013-05-02;SÃO PAULO, SP;14.200.000,00;0,00;16.718,97;737,16;6;2;5;0;10;324;6.264;58.946;12.509;2;3;5;16;24;44;70;SAMPAIO CORRÊA/MA;
420;420;2013-05-04;SÃO PAULO, SP;14.700.000,00;0,00;28.776,61;754,30;6;2;5;0;8;436;8.146;73.860;23.144;23;32;37;45;56;66;67;LONDRINA/PR;
421;421;2013-05-07;SÃO PAULO, SP;15.000.000,00;0,00;29.193,92;969,89;6;2;5;0;7;301;6.290;62.919;18.230;1;12;17;40;42;65;79;ATLÉTICO/GO;
422;422;2013-05-09;SÃO PAULO, SP;15.800.000,00;0,00;33.842,64;865,54;6;2;5;0;7;391;8.104;80.137;23.966;4;6;8;31;39;43;52;SPORT/PE;
423;423;2013-05-11;SÃO PAULO, SP;16.600.000,00;0,00;30.531,93;840,58;6;2;5;0;9;467;7.975;83.681;23.924;4;35;45;46;71;72;77;NÁUTICO/PE;
424;424;2013-05-14;SÃO PAULO, SP;18.200.000,00;0,00;25.189,73;799,67;6;2;5;0;10;450;9.028;85.330;22.516;13;16;29;44;70;78;80;IPATINGA/MG;
425;425;2013-05-16;SÃO PAULO, SP;18.500.000,00;0,00;13.986,29;531,69;6;2;5;0;19;714;12.757;112.343;59.494;2;6;7;19;24;54;68;CRUZEIRO/MG;
426;426;2013-05-18;SÃO PAULO, SP;19.200.000,00;0,00;17.630,94;837,82;6;2;5;0;16;481;10.007;93.595;31.194;6;20;28;32;43;45;75;ATLÉTICO/PR;
427;427;2013-05-21;SÃO PAULO, SP;150.000,00;9.686.810,12;11.588,82;657,83;6;2;5;2;24;604;9.982;92.082;17.778;13;16;31;45;63;67;74;RIO BRANCO/ES;
428;428;2013-05-23;SÃO PAULO, SP;360.000,00;0,00;23.355,73;602,98;6;2;5;0;3;166;3.143;30.247;24.771;6;13;14;25;39;48;74;GRÊMIO/RS;
429;429;2013-05-25;SÃO PAULO, SP;1.000.000,00;0,00;71.295,54;1.340,14;6;2;5;0;1;76;1.800;19.455;5.694;5;6;38;40;47;61;75;BANGU/RJ;
430;430;2013-05-28;SÃO PAULO, SP;1.150.000,00;0,00;0,00;949,48;6;2;5;0;0;79;1.855;19.093;22.633;11;21;28;32;54;78;79;SÃO PAULO/SP;
431;431;2013-06-01;SÃO PAULO, SP;1.500.000,00;0,00;36.602,85;780,44;6;2;5;0;3;201;3.435;34.674;6.842;1;2;28;44;46;48;72;BARUERI/SP;
432;432;2013-06-04;SÃO PAULO, SP;1.600.000,00;0,00;33.526,39;1.182,58;6;2;5;0;2;81;1.903;20.281;25.730;11;21;28;31;58;64;70;SANTOS/SP;
433;433;2013-06-06;SÃO PAULO, SP;1.900.000,00;0,00;31.315,20;871,48;6;2;5;0;3;154;3.215;30.599;6.773;1;4;17;36;43;72;79;MOTO CLUBE/MA;
434;434;2013-06-08;SÃO PAULO, SP;2.300.000,00;0,00;14.947,31;688,81;6;2;5;0;6;186;3.587;33.620;13.715;10;21;25;27;47;60;80;VITÓRIA/BA;
435;435;2013-06-11;SÃO PAULO, SP;2.500.000,00;0,00;14.842,27;539,06;6;2;5;0;6;236;3.392;29.476;6.667;15;22;34;36;53;57;58;JUVENTUS/SP;
436;436;2013-06-13;SÃO PAULO, SP;150.000,00;1.294.287,96;4.747,45;280,25;6;2;5;2;20;484;6.310;43.247;9.558;1;6;9;10;16;23;24;ATLÉTICO/GO;
437;437;2013-06-15;SÃO PAULO, SP;300.000,00;0,00;13.153,87;647,97;6;2;5;0;4;116;2.028;19.921;32.453;15;30;37;45;57;60;78;CORINTHIANS/SP;
438;438;2013-06-18;SÃO PAULO, SP;450.000,00;0,00;17.490,60;1.052,06;6;2;5;0;4;95;2.179;21.047;8.187;17;20;29;36;42;52;74;ATLÉTICO/PR;
439;439;2013-06-20;SÃO PAULO, SP;350.000,00;525.383,24;43.787,71;1.097,43;6;2;5;1;2;114;2.123;23.250;4.822;1;6;36;46;62;69;70;RORAIMA/RR;
440;440;2013-06-22;SÃO PAULO, SP;100.000,00;164.711,44;10.587,59;478,64;6;2;5;2;5;158;2.427;20.898;17.619;12;27;39;54;56;58;72;INTERNACIONAL/RS;
441;441;2013-06-25;SÃO PAULO, SP;250.000,00;0,00;47.192,79;654,54;6;2;5;0;1;103;1.812;17.590;3.353;13;19;20;23;38;60;63;SÃO CAETANO/SP;
442;442;2013-06-27;SÃO PAULO, SP;400.000,00;0,00;20.878,12;1.355,72;6;2;5;0;3;66;1.557;16.803;4.328;1;15;39;43;50;53;66;BRASILIENSE/DF;
443;443;2013-06-29;SÃO PAULO, SP;550.000,00;0,00;16.418,50;710,75;6;2;5;0;4;132;2.186;21.348;4.353;8;13;51;53;71;73;79;CRICIÚMA/SC;
444;444;2013-07-02;SÃO PAULO, SP;900.000,00;0,00;29.487,76;896,28;6;2;5;0;2;94;1.754;17.959;4.607;3;11;35;46;56;72;79;ITUANO/SP;
445;445;2013-07-04;SÃO PAULO, SP;1.100.000,00;0,00;76.652,74;1.033,05;6;2;5;0;1;106;2.458;22.871;4.860;9;17;28;38;46;64;76;BARUERI/SP;
446;446;2013-07-06;SÃO PAULO, SP;1.300.000,00;0,00;9.629,04;607,98;6;2;5;0;8;181;2.915;25.390;6.571;15;29;35;43;57;65;77;JUVENTUDE/RS;
447;447;2013-07-09;SÃO PAULO, SP;1.500.000,00;0,00;52.614,41;844,53;6;2;5;0;1;89;1.850;18.487;15.676;10;23;25;29;49;51;70;FLUMINENSE/RJ;
448;448;2013-07-11;SÃO PAULO, SP;1.700.000,00;0,00;27.199,41;710,78;6;2;5;0;3;164;2.682;26.542;6.003;1;16;21;32;42;63;80;MOTO CLUBE/MA;
449;449;2013-07-13;SÃO PAULO, SP;2.000.000,00;0,00;21.513,17;836,27;6;2;5;0;4;147;2.909;26.775;5.090;10;24;36;38;53;64;69;VILA NOVA/GO;
450;450;2013-07-16;SÃO PAULO, SP;2.200.000,00;0,00;22.766,85;524,58;6;2;5;0;3;186;3.012;26.367;8.338;6;9;15;24;27;44;76;ATLÉTICO/PR;
451;451;2013-07-18;SÃO PAULO, SP;2.400.000,00;0,00;16.008,61;822,64;6;2;5;0;5;139;2.926;27.074;14.834;20;22;29;36;44;48;78;FORTALEZA/CE;
452;452;2013-07-20;SÃO PAULO, SP;2.600.000,00;0,00;21.456,82;1.290,63;6;2;5;0;4;95;1.901;20.381;5.653;37;38;40;67;70;74;79;MOTO CLUBE/MA;
453;453;2013-07-23;SÃO PAULO, SP;2.800.000,00;0,00;23.289,42;1.039,70;6;2;5;0;3;96;2.147;21.718;4.272;1;5;32;46;57;66;79;AMERICANO/RJ;
454;454;2013-07-25;SÃO PAULO, SP;3.200.000,00;0,00;16.417,55;1.085,81;6;2;5;0;5;108;2.070;21.930;5.456;2;10;42;58;61;68;69;SAMPAIO CORRÊA/MA;
455;455;2013-07-27;SÃO PAULO, SP;3.400.000,00;0,00;43.764,96;1.582,81;6;2;5;0;2;79;2.015;21.603;6.793;18;21;23;60;70;76;78;AMÉRICA/MG;
456;456;2013-07-30;SÃO PAULO, SP;3.600.000,00;0,00;27.129,60;754,99;6;2;5;0;3;154;2.928;26.868;7.528;11;17;24;36;43;72;73;JOINVILLE/SC;
457;457;2013-08-01;SÃO PAULO, SP;3.900.000,00;0,00;34.053,20;853,46;6;2;5;0;3;171;3.179;29.861;7.886;2;9;25;40;46;68;72;MOTO CLUBE/MA;
458;458;2013-08-03;SÃO PAULO, SP;100.000,00;3.940.285,05;20.196,71;1.037,85;6;2;5;1;5;139;2.898;28.895;9.810;12;25;30;31;64;66;77;ATLÉTICO/GO;
459;459;2013-08-06;SÃO PAULO, SP;450.000,00;0,00;18.021,99;446,45;6;2;5;0;3;173;2.378;20.005;2.860;2;8;10;14;41;44;50;UBERLÂNDIA/MG;
460;460;2013-08-08;SÃO PAULO, SP;700.000,00;0,00;0,00;829,34;6;2;5;0;0;104;1.879;19.300;12.771;9;18;29;39;46;52;60;BAHIA/BA;
461;461;2013-08-10;SÃO PAULO, SP;900.000,00;0,00;71.076,15;898,56;6;2;5;0;1;113;2.523;24.955;4.865;3;4;11;22;24;67;76;BRAGANTINO/SP;
462;462;2013-08-13;SÃO PAULO, SP;1.000.000,00;0,00;31.791,10;1.032,17;6;2;5;0;2;88;1.714;18.101;3.248;11;12;28;39;57;70;71;CSA/AL;
463;463;2013-08-15;SÃO PAULO, SP;1.200.000,00;0,00;67.551,26;927,90;6;2;5;0;1;104;2.116;21.148;3.891;4;5;48;55;63;66;68;TUNA LUSO/PA;
464;464;2013-08-17;SÃO PAULO, SP;1.600.000,00;0,00;19.578,40;874,03;6;2;5;0;4;128;2.553;24.396;4.084;2;12;16;37;45;60;76;OPERARIO/MS;
465;465;2013-08-20;SÃO PAULO, SP;1.800.000,00;0,00;18.315,66;844,03;6;2;5;0;4;124;2.220;21.899;5.833;12;23;39;47;62;71;79;BOTAFOGO/PB;
466;466;2013-08-22;SÃO PAULO, SP;2.000.000,00;0,00;84.887,94;1.332,62;6;2;5;0;1;91;2.002;21.832;4.358;11;31;43;50;64;66;72;RORAIMA/RR;
467;467;2013-08-24;SÃO PAULO, SP;2.200.000,00;0,00;27.346,55;751,27;6;2;5;0;3;156;2.954;27.586;6.356;1;19;34;40;42;53;80;RIVER/PI;
468;468;2013-08-27;SÃO PAULO, SP;2.400.000,00;0,00;24.064,63;613,89;6;2;5;0;3;168;2.813;25.740;3.621;11;14;16;24;33;56;79;DESPORTIVA/ES;
469;469;2013-08-29;SÃO PAULO, SP;2.800.000,00;0,00;16.379,06;709,05;6;2;5;0;5;165;2.804;26.248;6.990;18;25;36;49;59;65;77;NÁUTICO/PE;
470;470;2013-08-31;SÃO PAULO, SP;3.000.000,00;0,00;28.159,90;907,40;6;2;5;0;3;133;2.459;24.246;6.408;22;37;38;48;56;64;75;BOTAFOGO/PB;
471;471;1905-07-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;18;20;43;56;65;66;71;PORTUGUESA DESPORTOS/SP;
472;472;2013-09-05;SÃO PAULO, SP;3.400.000,00;0,00;14.675,42;542,19;6;2;5;0;6;232;4.065;33.418;5.878;7;11;12;18;20;28;63;VILA NOVA/GO;
473;473;2013-09-10;SÃO PAULO, SP;3.700.000,00;0,00;17.152,06;820,67;6;2;5;0;7;209;3.319;31.980;7.592;32;55;63;65;70;71;73;BARUERI/SP;
474;474;2013-09-12;SÃO PAULO, SP;4.200.000,00;0,00;36.538,20;884,70;6;2;5;0;3;177;3.247;33.020;5.125;5;25;38;48;57;62;63;PAULISTA/SP;
475;475;2013-09-14;SÃO PAULO, SP;4.500.000,00;0,00;36.385,28;876,05;6;2;5;0;3;178;3.687;31.600;5.820;28;36;63;64;65;68;76;RIO BRANCO/AC;
476;476;2013-09-17;SÃO PAULO, SP;4.800.000,00;0,00;42.428,10;548,52;6;2;5;0;2;221;3.906;36.066;36.957;13;29;43;45;48;58;73;SÃO PAULO/SP;
477;477;2013-09-19;SÃO PAULO, SP;5.100.000,00;0,00;17.233,98;786,93;6;2;5;0;7;219;4.314;40.043;15.505;12;14;28;41;55;68;71;VITÓRIA/BA;
478;478;2013-09-21;SÃO PAULO, SP;5.400.000,00;0,00;31.960,20;833,92;6;2;5;0;4;219;4.047;40.009;7.327;11;27;38;43;47;63;69;RIO BRANCO/ES;
479;479;2013-09-24;SÃO PAULO, SP;400.000,00;5.489.921,46;22.522,62;850,44;6;2;5;1;6;227;4.050;40.331;9.410;26;29;31;44;65;72;80;BRASILIENSE/DF;
480;480;2013-09-26;SÃO PAULO, SP;600.000,00;0,00;57.125,74;578,78;6;2;5;0;1;141;2.257;22.938;22.311;10;12;28;35;38;60;68;SANTOS/SP;
481;481;2013-09-28;SÃO PAULO, SP;800.000,00;0,00;14.788,25;1.045,84;6;2;5;0;5;101;2.262;22.273;2.758;3;6;25;26;37;76;78;VILLA NOVA/MG;
482;482;2013-10-01;SÃO PAULO, SP;900.000,00;0,00;68.102,19;935,46;6;2;5;0;1;104;2.479;23.453;4.000;15;16;21;33;35;55;80;RIO BRANCO/ES;
483;483;2013-10-03;SÃO PAULO, SP;1.100.000,00;0,00;23.059,80;710,99;6;2;5;0;3;139;2.631;26.532;23.784;12;26;31;36;55;71;79;GRÊMIO/RS;
484;484;2013-10-05;SÃO PAULO, SP;1.400.000,00;0,00;22.570,40;761,65;6;2;5;0;3;127;2.567;25.933;24.064;4;28;29;33;39;47;71;GRÊMIO/RS;
485;485;2013-10-08;SÃO PAULO, SP;1.600.000,00;0,00;9.851,81;480,57;6;2;5;0;7;205;3.531;29.597;12.045;4;5;19;24;28;30;48;FORTALEZA/CE;
486;486;2013-10-10;SÃO PAULO, SP;1.900.000,00;0,00;86.327,69;906,80;6;2;5;0;1;136;2.361;24.386;10.325;27;39;42;51;56;61;77;VITÓRIA/BA;
487;487;2013-10-15;SÃO PAULO, SP;2.150.000,00;0,00;11.431,51;724,02;6;2;5;0;9;203;3.630;34.593;12.557;5;42;48;52;55;57;78;SANTA CRUZ/PE;
488;488;2013-10-17;SÃO PAULO, SP;2.400.000,00;0,00;12.579,94;816,87;6;2;5;0;8;176;2.933;27.799;4.964;15;30;34;36;37;57;60;DESPORTIVA/ES;
489;489;2013-10-19;SÃO PAULO, SP;2.800.000,00;0,00;43.618,49;814,53;6;2;5;0;2;153;2.975;29.189;5.409;2;4;7;49;66;69;77;VILA NOVA/GO;
490;490;2013-10-22;SÃO PAULO, SP;3.000.000,00;0,00;9.456,89;516,77;6;2;5;0;7;183;3.345;29.407;20.817;13;17;28;45;46;77;79;VASCO DA GAMA/RJ;
491;491;2013-10-24;SÃO PAULO, SP;3.200.000,00;0,00;10.209,67;337,44;6;2;5;0;9;389;3.757;32.053;5.758;4;13;48;55;60;62;80;YPIRANGA/AP;
492;492;2013-10-26;SÃO PAULO, SP;100.000,00;3.266.989,70;47.326,50;1.186,12;6;2;5;1;2;114;2.323;24.598;3.909;2;20;21;30;57;65;76;PAULISTA/SP;
493;493;2013-10-29;SÃO PAULO, SP;300.000,00;0,00;0,00;868,78;6;2;5;0;0;66;1.405;14.536;21.285;1;16;42;46;51;60;77;CORINTHIANS/SP;
494;494;2013-10-31;SÃO PAULO, SP;600.000,00;0,00;20.293,15;776,52;6;2;5;0;3;112;1.782;18.075;8.308;6;22;33;40;49;56;74;VITÓRIA/BA;
495;495;2013-11-05;SÃO PAULO, SP;800.000,00;0,00;15.828,31;785,13;6;2;5;0;5;144;2.632;24.956;12.000;3;6;19;46;50;61;62;FORTALEZA/CE;
496;496;2013-11-07;SÃO PAULO, SP;1.000.000,00;0,00;73.297,06;1.057,67;6;2;5;0;1;99;1.702;18.900;4.822;20;34;43;44;69;70;75;JUVENTUS/SP;
497;497;2013-11-09;SÃO PAULO, SP;1.150.000,00;0,00;0,00;1.182,68;6;2;5;0;0;88;1.888;20.438;5.922;6;20;31;34;42;49;79;AMÉRICA/RN;
498;498;2013-11-12;SÃO PAULO, SP;1.400.000,00;0,00;33.872,49;620,37;6;2;5;0;2;156;2.661;23.017;4.863;17;35;37;48;53;56;80;MIXTO/MT;
499;499;2013-11-14;SÃO PAULO, SP;1.800.000,00;0,00;77.791,19;1.058,38;6;2;5;0;1;105;2.612;25.249;4.313;11;13;28;42;50;66;67;UBERLÂNDIA/MG;
500;500;2013-11-16;SÃO PAULO, SP;1.900.000,00;0,00;19.044,61;1.118,07;6;2;5;0;3;73;1.912;18.967;5.371;9;11;44;57;65;75;78;ATLÉTICO/GO;
501;501;2013-11-19;SÃO PAULO, SP;2.100.000,00;0,00;31.827,88;688,91;6;2;5;0;2;132;2.552;24.253;23.425;12;16;28;30;33;49;61;SANTOS/SP;
502;502;2013-11-21;SÃO PAULO, SP;2.300.000,00;0,00;13.902,21;960,98;6;2;5;0;6;124;2.470;24.476;5.184;14;33;38;57;66;70;79;AMERICANO/RJ;
503;503;2013-11-23;SÃO PAULO, SP;2.500.000,00;0,00;9.862,68;709,54;6;2;5;0;7;139;2.442;25.709;24.276;1;2;23;33;38;47;51;GRÊMIO/RS;
504;504;2013-11-26;SÃO PAULO, SP;350.000,00;2.540.940,39;40.587,66;1.220,68;6;2;5;1;2;95;2.043;23.045;4.582;33;34;41;44;65;74;79;NACIONAL/AM;
505;505;2013-11-28;SÃO PAULO, SP;500.000,00;0,00;20.717,71;1.082,80;6;2;5;0;3;82;1.662;17.417;4.606;7;8;39;40;55;75;76;PAYSANDU/PA;
506;506;2013-11-30;SÃO PAULO, SP;700.000,00;0,00;0,00;1.034,52;6;2;5;0;0;89;1.647;16.901;5.742;14;21;39;41;42;48;50;LONDRINA/PR;
507;507;1905-07-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;8;21;28;32;58;61;65;UNIÃO BARBARENSE/SP;
508;508;2013-12-05;SÃO PAULO, SP;1.100.000,00;0,00;24.593,50;893,22;6;2;5;0;3;118;2.738;25.525;3.269;25;28;33;35;47;51;80;PAULISTA/SP;
509;509;2013-12-07;SÃO PAULO, SP;1.400.000,00;0,00;10.972,64;536,82;6;2;5;0;5;146;2.807;25.132;30.724;6;23;28;29;45;53;72;CORINTHIANS/SP;
510;510;2013-12-10;SÃO PAULO, SP;1.500.000,00;0,00;9.385,95;579,37;6;2;5;0;7;162;2.707;24.611;3.111;7;10;44;52;69;79;80;XV PIRACICABA/SP;
511;511;2013-12-12;SÃO PAULO, SP;100.000,00;1.549.127,62;14.578,39;667,50;6;2;5;1;5;156;2.730;26.082;11.823;3;13;31;43;63;66;79;FORTALEZA/CE;
512;512;2013-12-14;SÃO PAULO, SP;250.000,00;0,00;18.566,02;454,67;6;2;5;0;3;175;2.720;22.931;4.040;4;7;11;19;39;59;63;INTER LIMEIRA/SP;
513;513;2013-12-17;SÃO PAULO, SP;400.000,00;0,00;24.032,33;730,46;6;2;5;0;2;94;1.622;16.042;9.858;5;8;26;35;41;43;69;BAHIA/BA;
514;514;2013-12-19;SÃO PAULO, SP;700.000,00;0,00;53.990,26;940,59;6;2;5;0;1;82;1.493;15.202;8.430;26;29;41;44;68;71;73;GOIÁS/GO;
515;515;2013-12-21;SÃO PAULO, SP;800.000,00;0,00;18.882,97;919,62;6;2;5;0;3;88;1.616;16.380;7.368;9;17;21;26;70;78;79;ABC/RN;
516;516;2013-12-24;SÃO PAULO, SP;900.000,00;0,00;17.418,73;684,87;6;2;5;0;3;109;1.879;16.698;2.362;1;21;30;58;59;71;80;XV PIRACICABA/SP;
517;517;2013-12-26;SÃO PAULO, SP;1.100.000,00;0,00;17.502,67;872,22;6;2;5;0;3;86;1.831;17.038;3.371;8;15;22;32;36;42;57;CRICIÚMA/SC;
518;518;2013-12-28;SÃO PAULO, SP;1.250.000,00;0,00;63.921,38;736,42;6;2;5;0;1;124;2.343;22.385;6.179;1;13;44;47;56;59;75;ATLÉTICO/GO;
519;519;2013-12-31;SÃO PAULO, SP;1.500.000,00;0,00;19.980,41;823,36;6;2;5;0;3;104;1.630;16.286;3.365;48;52;57;61;73;76;77;MOTO CLUBE/MA;
520;520;2014-01-02;SÃO PAULO, SP;1.650.000,00;0,00;12.743,88;1.300,39;6;2;5;0;4;56;1.426;15.212;3.475;25;27;31;32;59;67;80;PALMAS/TO;
521;521;2014-01-04;SÃO PAULO, SP;1.800.000,00;0,00;23.027,30;736,48;6;2;5;0;3;134;2.667;25.528;7.277;6;10;17;20;42;48;53;AVAÍ/SC;
522;522;2014-01-07;SÃO PAULO, SP;2.100.000,00;0,00;0,00;1.518,88;6;2;5;0;0;65;1.550;16.415;2.818;23;39;50;59;61;65;72;XV PIRACICABA/SP;
523;523;2014-01-09;SÃO PAULO, SP;2.300.000,00;0,00;77.756,31;903,09;6;2;5;0;1;123;2.545;23.746;6.602;4;24;36;56;67;72;78;JUVENTUDE/RS;
524;524;2014-01-11;SÃO PAULO, SP;2.700.000,00;0,00;16.726,20;919,02;6;2;5;0;5;130;2.800;27.745;4.961;12;15;26;38;58;77;80;SÃO RAIMUNDO/AM;
525;525;2014-01-14;SÃO PAULO, SP;2.900.000,00;0,00;83.580,25;790,73;6;2;5;0;1;151;2.778;26.672;6.723;8;13;37;42;45;61;66;PONTE PRETA/SP;
526;526;2014-01-16;SÃO PAULO, SP;3.100.000,00;0,00;18.072,63;648,69;6;2;5;0;5;199;3.682;33.542;7.097;1;11;17;18;47;63;80;FIGUEIRENSE/SC;
527;527;1905-07-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;12;13;20;35;46;70;80;PORTUGUESA DESPORTOS/SP;
528;528;2014-01-21;SÃO PAULO, SP;3.500.000,00;0,00;15.771,10;1.140,76;6;2;5;0;4;79;2.438;24.903;43.692;26;31;42;44;50;67;77;FLAMENGO/RJ;
529;529;2014-01-23;SÃO PAULO, SP;4.000.000,00;0,00;109.307,01;1.076,91;6;2;5;0;1;145;3.014;30.839;9.150;22;36;40;50;53;60;78;IPATINGA/MG;
530;530;2014-01-25;SÃO PAULO, SP;4.300.000,00;0,00;100.562,68;945,13;6;2;5;0;1;152;3.385;31.850;5.894;10;21;33;45;49;58;70;OLARIA/RJ;
531;531;2014-01-28;SÃO PAULO, SP;4.600.000,00;0,00;36.408,45;981,35;6;2;5;0;3;159;3.143;29.225;9.917;23;50;54;61;66;72;74;GAMA/DF;
532;532;2014-01-30;SÃO PAULO, SP;4.900.000,00;0,00;41.608,06;1.204,86;6;2;5;0;3;148;3.179;35.406;6.109;18;19;30;32;42;63;70;PAULISTA/SP;
533;533;2014-02-01;SÃO PAULO, SP;5.200.000,00;0,00;16.083,24;702,32;6;2;5;0;7;229;4.000;39.631;9.719;4;10;35;36;54;55;56;ITUANO/SP;
534;534;2014-02-04;SÃO PAULO, SP;5.800.000,00;0,00;40.866,55;1.081,12;6;2;5;0;3;162;3.290;34.089;8.000;1;4;22;27;32;61;70;CRICIÚMA/SC;
535;535;2014-02-06;SÃO PAULO, SP;6.100.000,00;0,00;25.545,66;577,43;6;2;5;0;5;316;4.629;43.301;14.372;7;15;20;34;47;59;75;AVAÍ/SC;
536;536;2014-02-08;SÃO PAULO, SP;6.300.000,00;0,00;18.489,83;719,44;6;2;5;0;7;257;4.409;41.066;9.307;2;28;33;47;61;65;77;SANTO ANDRÉ/SP;
537;537;2014-02-11;SÃO PAULO, SP;6.700.000,00;0,00;9.153,45;536,25;6;2;5;0;13;317;4.851;41.674;12.764;17;28;35;44;53;66;79;SPORT/PE;
538;538;2014-02-13;SÃO PAULO, SP;7.100.000,00;0,00;20.866,50;753,30;6;2;5;0;7;277;5.452;48.910;10.570;7;32;35;42;56;57;75;FIGUEIRENSE/SC;
