"idquina";"quiconc";"quidata";"quilocal";"quipremioest";"quipr05";"quipr04";"quipr03";"quipr02";"quigan05";"quigan04";"quigan03";"quigan02";"quid01";"quid02";"quid03";"quid04";"quid05";"quicidadesgan"
1;1;"1994-03-13 00:00:00";"";"0";"75.731.225,00";"1.788.927,00";"42.982,00";"0";"3";"127";"7030";"0";25;45;60;76;79;""
2;2;"1994-03-17 00:00:00";"";"0";"118.499.397,00";"1.128.565,00";"32.422,00";"0";"1";"105";"4861";"0";13;30;58;63;64;""
3;3;"1994-03-20 00:00:00";"";"0";"154.244.270,00";"664.846,00";"20.120,00";"0";"1";"232";"10196";"0";5;15;32;33;48;""
4;4;"1994-03-24 00:00:00";"";"0";"124.185.246,00";"1.592.119,00";"40.954,00";"0";"1";"78";"4033";"0";27;57;60;61;77;""
5;5;"1994-03-27 00:00:00";"";"0";"147.595.715,00";"1.077.341,00";"36.774,00";"0";"1";"137";"5338";"0";19;44;53;54;71;""
6;6;"1994-04-03 00:00:00";"";"0";"165.397.879,00";"1.053.490,00";"30.192,00";"0";"1";"157";"7286";"0";4;45;54;65;67;""
7;7;"1994-04-07 00:00:00";"";"0";"77.956.048,00";"1.019.033,00";"36.891,00";"0";"2";"153";"5621";"0";9;21;37;42;68;""
8;8;"1994-04-10 00:00:00";"";"215.049.006,00";"0";"1.208.140,00";"34.501,00";"0";"0";"178";"8290";"0";5;16;26;28;62;""
9;9;"1994-04-14 00:00:00";"";"452.843.743,00";"0";"1.486.217,00";"41.701,00";"0";"0";"160";"7584";"0";4;15;44;64;73;""
10;10;"1994-04-17 00:00:00";"";"735.323.913,00";"0";"2.414.361,00";"61.701,00";"0";"0";"117";"6089";"0";20;32;49;54;62;""
11;11;"1994-04-24 00:00:00";"";"0";"417.312.858,00";"1.949.489,00";"54.140,00";"0";"3";"265";"12691";"0";17;33;52;60;76;""
12;12;"1994-04-28 00:00:00";"";"0";"184.669.459,00";"1.328.557,00";"42.078,00";"0";"1";"139";"5837";"0";1;28;56;65;79;""
13;13;"1994-05-01 00:00:00";"";"230.692.109,00";"0";"2.006.018,00";"42.419,00";"0";"0";"115";"7233";"0";13;33;38;39;72;""
14;14;"1994-05-05 00:00:00";"";"0";"525.124.015,00";"2.777.659,00";"83.176,00";"0";"1";"106";"4708";"0";44;52;60;64;68;""
15;15;"1994-05-08 00:00:00";"";"0";"277.319.457,00";"2.829.790,00";"68.838,00";"0";"1";"98";"5358";"0";2;25;54;63;66;""
16;16;"1994-05-12 00:00:00";"";"0";"110.528.738,00";"2.028.050,00";"60.210,00";"0";"2";"109";"4883";"0";11;24;63;64;69;""
17;17;"1994-05-15 00:00:00";"";"0";"133.857.239,00";"2.574.178,00";"62.831,00";"0";"2";"104";"5667";"0";1;14;26;34;72;""
18;18;"1994-05-19 00:00:00";"";"0";"212.643.153,00";"4.012.135,00";"93.400,00";"0";"1";"53";"3028";"0";6;29;40;63;72;""
19;19;"1994-05-22 00:00:00";"";"0";"251.357.051,00";"3.181.735,00";"70.114,00";"0";"1";"79";"4768";"0";12;21;42;60;66;""
20;20;"1994-05-26 00:00:00";"";"0";"213.833.570,00";"1.943.942,00";"57.969,00";"0";"1";"110";"4906";"0";13;16;31;39;70;""
21;21;"1994-05-29 00:00:00";"";"254.496.966,00";"0";"1.454.269,00";"44.351,00";"0";"0";"175";"7632";"0";5;15;38;48;77;""
22;22;"1994-06-05 00:00:00";"";"0";"174.093.581,00";"964.798,00";"33.305,00";"0";"4";"458";"17646";"0";7;9;11;25;75;""
23;23;"1994-06-09 00:00:00";"";"290.886.677,00";"0";"2.851.831,00";"90.223,00";"0";"0";"102";"4288";"0";1;15;63;72;77;""
24;24;"1994-06-12 00:00:00";"";"694.314.777,00";"0";"4.746.213,00";"97.362,00";"0";"0";"85";"5511";"0";9;44;57;67;68;""
25;25;"1994-06-16 00:00:00";"";"0";"579.215.957,00";"2.667.340,00";"86.031,00";"0";"2";"174";"7175";"0";2;29;46;69;76;""
26;26;"1994-06-19 00:00:00";"";"0";"367.630.872,00";"1.976.510,00";"63.748,00";"0";"1";"186";"7670";"0";10;15;22;55;79;""
27;27;"1994-06-23 00:00:00";"";"279.615.239,00";"0";"3.679.148,00";"101.525,00";"0";"0";"76";"3663";"0";5;36;39;70;78;""
28;28;"1994-06-26 00:00:00";"";"0";"317.283.646,00";"1.116.201,00";"61.494,00";"0";"2";"318";"7677";"0";8;26;28;29;30;""
29;29;"1994-07-03 00:00:00";"";"148.142,89";"0";"1.702,79";"44,22";"0";"0";"87";"4456";"0";20;23;31;35;76;""
30;30;"1994-07-07 00:00:00";"";"0";"271.366,73";"648,55";"23,73";"0";"1";"190";"6909";"0";12;13;14;56;60;""
31;31;"1994-07-10 00:00:00";"";"0";"140.707,31";"1.465,70";"46,75";"0";"1";"96";"4004";"0";43;51;54;69;73;""
32;32;"1994-07-14 00:00:00";"";"115.320,07";"0";"1.087,92";"29,4";"0";"0";"106";"5217";"0";9;23;31;60;80;""
33;33;"1994-07-18 00:00:00";"";"273.810,56";"0";"2.732,59";"56,32";"0";"0";"58";"3743";"0";21;31;44;65;74;""
34;34;"1994-07-21 00:00:00";"";"430.055,17";"0";"908,4";"27,5";"0";"0";"172";"7558";"0";17;45;64;67;69;""
35;35;"1994-07-24 00:00:00";"";"0";"322.767,41";"775,11";"40,9";"0";"2";"278";"7007";"0";44;52;54;56;60;""
36;36;"1994-07-28 00:00:00";"";"138.426,04";"0";"1.017,84";"35,5";"0";"0";"136";"5188";"0";42;56;62;65;79;""
37;37;"1994-07-31 00:00:00";"";"0";"0";"1.663,28";"34,64";"0";"0";"118";"7538";"0";9;26;31;36;65;""
38;38;"1994-08-04 00:00:00";"";"0";"572.577,33";"1.328,96";"32,24";"0";"1";"179";"9813";"0";11;12;57;59;69;""
39;39;"1994-08-07 00:00:00";"";"0";"66.720,22";"623,56";"20,17";"0";"3";"321";"13197";"0";5;7;21;28;70;""
40;40;"1994-08-11 00:00:00";"";"0";"88.095,96";"978,84";"29,44";"0";"2";"180";"7961";"0";2;18;31;38;49;""
41;41;"1994-08-14 00:00:00";"";"0";"40.008,93";"685,09";"25,71";"0";"5";"292";"10350";"0";5;14;31;41;49;""
42;42;"1994-08-18 00:00:00";"";"0";"176.147,02";"1.048,49";"33,37";"0";"1";"168";"7021";"0";15;33;39;76;78;""
43;43;"1994-08-21 00:00:00";"";"0";"216.656,42";"1.062,04";"27,57";"0";"1";"204";"10453";"0";5;18;21;41;71;""
44;44;"1994-08-25 00:00:00";"";"0";"96.260,30";"1.188,40";"31,71";"0";"2";"162";"8076";"0";2;7;57;59;76;""
45;45;"1994-08-28 00:00:00";"";"0";"109.599,02";"1.129,89";"29,45";"0";"2";"194";"9899";"0";2;3;27;64;65;""
46;46;"1994-09-01 00:00:00";"";"0";"191.015,19";"1.364,40";"38,35";"0";"1";"140";"6625";"0";30;49;72;78;80;""
47;47;"1994-09-04 00:00:00";"";"0";"224.601,33";"1.054,47";"29,36";"0";"1";"213";"10178";"0";10;18;22;31;73;""
48;48;"1994-09-11 00:00:00";"";"301.304,74";"0";"3.074,54";"60,44";"0";"0";"98";"6631";"0";20;39;72;73;76;""
49;49;"1994-09-15 00:00:00";"";"0";"585.910,74";"1.061,96";"27,61";"0";"1";"268";"13716";"0";10;19;39;52;66;""
50;50;"1994-09-18 00:00:00";"";"0";"40.699,71";"530,86";"18,3";"0";"6";"460";"17759";"0";4;10;15;42;45;""
51;51;"1994-09-22 00:00:00";"";"0";"106.595,79";"1.010,38";"33,27";"0";"2";"211";"8524";"0";2;20;26;42;79;""
52;52;"1994-09-25 00:00:00";"";"239.750,80";"0";"2.049,16";"47,67";"0";"0";"117";"6691";"0";6;39;41;61;64;""
53;53;"1994-09-29 00:00:00";"";"0";"262.624,99";"1.359,52";"41,55";"0";"2";"210";"9140";"0";40;42;48;64;69;""
54;54;"1994-10-02 00:00:00";"";"0";"123.112,24";"1.052,24";"30,71";"0";"2";"234";"10666";"0";13;21;32;33;66;""
55;55;"1994-10-09 00:00:00";"";"0";"318.095,40";"1.432,86";"34,62";"0";"1";"222";"12224";"0";12;14;60;66;68;""
56;56;"1994-10-16 00:00:00";"";"0";"80.964,54";"415,2";"17,53";"0";"4";"780";"24568";"0";5;18;24;43;48;""
57;57;"1994-10-17 00:00:00";"";"211.531,64";"0";"1.855,54";"48,84";"0";"0";"114";"5761";"0";31;49;52;63;71;""
58;58;"1994-10-23 00:00:00";"";"510.096,61";"0";"1.766,66";"47,89";"0";"0";"169";"8292";"0";34;41;50;67;77;""
59;59;"1994-10-27 00:00:00";"";"897.999,37";"0";"1.856,00";"45,94";"0";"0";"509";"11231";"0";20;35;37;42;71;""
60;60;"1994-10-30 00:00:00";"";"0";"656.281,53";"944,34";"33,43";"0";"2";"439";"16495";"0";19;25;32;68;71;""
61;61;"1994-11-06 00:00:00";"";"0";"350.253,13";"1.453,33";"37,29";"0";"1";"241";"12492";"0";27;54;63;71;77;""
62;62;"1994-11-10 00:00:00";"";"0";"39.468,72";"549,45";"20,62";"0";"6";"431";"15279";"0";3;12;24;36;40;""
63;63;"1994-11-13 00:00:00";"";"0";"280.187,69";"1.987,15";"46,89";"0";"1";"141";"7948";"0";11;40;50;74;78;""
64;64;"1994-11-20 00:00:00";"";"321.179,14";"0";"1.032,73";"34,11";"0";"0";"311";"12524";"0";25;43;52;59;75;""
65;65;"1994-11-24 00:00:00";"";"0";"655.234,66";"1.232,68";"39,8";"0";"1";"271";"11166";"0";3;25;60;62;75;""
66;66;"1994-11-27 00:00:00";"";"0";"94.678,83";"847,87";"41,97";"0";"3";"335";"9001";"0";66;73;75;76;79;""
67;67;"1994-12-01 00:00:00";"";"0";"246.640,35";"1.045,09";"29,41";"0";"1";"236";"11156";"0";5;23;36;67;70;""
68;68;"1994-12-04 00:00:00";"";"0";"293.047,58";"1.252,34";"33,5";"0";"1";"234";"11636";"0";7;52;68;69;76;""
69;69;"1994-12-08 00:00:00";"";"252.164,43";"0";"1.212,33";"35,91";"0";"0";"208";"9342";"0";16;61;65;72;78;""
70;70;"1994-12-11 00:00:00";"";"0";"575.634,84";"853,49";"28,44";"0";"1";"379";"15129";"0";5;25;52;57;62;""
71;71;"1994-12-15 00:00:00";"";"0";"252.175,88";"1.320,30";"30,41";"0";"1";"191";"11031";"0";27;55;66;73;75;""
72;72;"1994-12-18 00:00:00";"";"306.262,58";"0";"928,07";"31,82";"0";"0";"330";"12806";"0";12;23;39;54;72;""
73;73;"1994-12-26 00:00:00";"";"0";"161.640,02";"1.115,42";"32,85";"0";"5";"450";"20328";"0";6;17;49;65;70;""
74;74;"1995-01-02 00:00:00";"";"0";"202.435,41";"1.516,37";"44,41";"0";"2";"267";"12156";"0";41;47;49;70;74;""
75;75;"1995-01-05 00:00:00";"";"242.311,98";"0";"1.268,65";"30,14";"0";"0";"191";"10721";"0";4;27;46;53;55;""
76;76;"1995-01-08 00:00:00";"";"0";"299.603,12";"1.307,30";"37,55";"0";"2";"273";"12673";"0";3;23;58;62;74;""
77;77;"1995-01-12 00:00:00";"";"0";"53.348,61";"661,9";"22,97";"0";"5";"403";"15484";"0";6;9;27;43;65;""
78;78;"1995-01-15 00:00:00";"";"0";"315.063,74";"1.064,40";"28,56";"0";"1";"296";"14707";"0";2;19;50;59;69;""
79;79;"1995-01-19 00:00:00";"";"253.672,70";"0";"1.102,92";"30,58";"0";"0";"230";"11061";"0";4;18;55;57;74;""
80;80;"1995-01-22 00:00:00";"";"0";"194.662,30";"1.543,53";"42,52";"0";"3";"214";"10359";"0";35;42;55;60;78;""
81;81;"1995-01-26 00:00:00";"";"0";"42.857,88";"642,87";"24,39";"0";"6";"400";"14061";"0";13;31;45;56;63;""
82;82;"1995-01-29 00:00:00";"";"0";"301.776,16";"1.055,16";"29,4";"0";"1";"286";"13687";"0";13;34;55;64;80;""
83;83;"1995-02-02 00:00:00";"";"0";"251.345,92";"1.269,43";"33,46";"0";"1";"198";"10014";"0";17;20;30;33;68;""
84;84;"1995-02-05 00:00:00";"";"0";"105.031,25";"801,76";"24,39";"0";"3";"393";"17224";"0";1;8;13;53;61;""
85;85;"1995-02-09 00:00:00";"";"0";"284.798,56";"1.288,68";"35,41";"0";"1";"221";"10724";"0";3;20;27;32;61;""
86;86;"1995-02-12 00:00:00";"";"0";"336.515,39";"1.193,32";"31,69";"0";"1";"282";"14157";"0";13;49;57;67;78;""
87;87;"1995-02-16 00:00:00";"";"0";"139.085,38";"1.178,69";"33,86";"0";"2";"236";"10952";"0";18;29;37;51;57;""
88;88;"1995-02-19 00:00:00";"";"0";"83.294,27";"1.224,91";"36,45";"0";"4";"272";"12187";"0";11;25;49;51;53;""
89;89;"1995-02-23 00:00:00";"";"274.415,24";"0";"1.805,37";"45,06";"0";"0";"152";"8120";"0";2;32;40;53;54;""
90;90;"1995-02-26 00:00:00";"";"0";"119.552,51";"942,7";"31,64";"0";"5";"343";"13629";"0";8;16;32;74;79;""
91;91;"1995-03-05 00:00:00";"";"0";"173.489,32";"1.172,22";"34,78";"0";"2";"296";"13303";"0";7;30;33;52;69;""
92;92;"1995-03-09 00:00:00";"";"0";"276.048,28";"902,12";"28,48";"0";"1";"306";"12924";"0";11;25;29;42;66;""
93;93;"1995-03-12 00:00:00";"";"331.714,13";"0";"807,09";"26,4";"0";"0";"411";"16755";"0";4;6;27;68;74;""
94;94;"1995-03-16 00:00:00";"";"0";"73.212,91";"449,91";"18,63";"0";"10";"890";"28660";"0";1;19;59;65;80;""
95;95;"1995-03-19 00:00:00";"";"365.198,74";"0";"1.844,44";"45,97";"0";"0";"198";"10593";"0";6;43;50;63;71;""
96;96;"1995-03-23 00:00:00";"";"0";"131.419,41";"1.219,94";"40,38";"0";"6";"347";"13979";"0";4;50;51;52;77;""
97;97;"1995-03-26 00:00:00";"";"0";"367.765,84";"917,12";"26,28";"0";"1";"401";"18661";"0";5;6;16;54;70;""
98;98;"1995-03-30 00:00:00";"";"0";"48.540,52";"549,52";"19,46";"0";"6";"530";"19954";"0";4;16;17;35;49;""
99;99;"1995-04-02 00:00:00";"";"0";"68.627,90";"734,77";"23,31";"0";"5";"467";"19632";"0";2;9;17;66;76;""
100;100;"1995-04-06 00:00:00";"";"0";"71.109,21";"1.049,58";"36,96";"0";"4";"271";"10263";"0";33;36;56;58;60;""
101;101;"1995-04-09 00:00:00";"";"0";"48.937,16";"402,06";"27,39";"0";"7";"852";"16678";"0";12;27;28;30;36;""
102;102;"1995-04-16 00:00:00";"";"0";"92.403,02";"980,4";"29,59";"0";"4";"377";"16659";"0";5;23;50;65;67;""
103;103;"1995-04-23 00:00:00";"";"399.341,56";"0";"1.292,37";"32,81";"0";"0";"309";"16232";"0";12;16;53;64;66;""
104;104;"1995-04-27 00:00:00";"";"0";"365.864,81";"1.351,17";"36,04";"0";"2";"246";"12297";"0";20;30;36;48;53;""
105;105;"1995-04-30 00:00:00";"";"0";"341.897,10";"749,77";"24,76";"0";"1";"456";"18410";"0";3;7;45;46;65;""
106;106;"1995-05-07 00:00:00";"";"407.348,20";"0";"1.733,40";"43,01";"0";"0";"235";"12629";"0";20;21;43;45;67;""
107;107;"1995-05-11 00:00:00";"";"0";"194.166,63";"956,79";"29,15";"0";"4";"386";"16894";"0";2;3;30;39;72;""
108;108;"1995-05-14 00:00:00";"";"0";"352.881,11";"1.092,52";"28,85";"0";"1";"323";"16307";"0";1;19;50;52;54;""
109;109;"1995-05-18 00:00:00";"";"0";"134.085,06";"1.434,07";"36,23";"0";"2";"187";"9870";"0";1;21;27;48;78;""
110;110;"1995-05-21 00:00:00";"";"0";"329.436,18";"634,75";"20,38";"0";"1";"519";"21550";"0";1;19;27;36;57;""
111;111;"1995-05-25 00:00:00";"";"0";"128.539,82";"662,58";"29,6";"0";"2";"388";"11580";"0";15;42;54;68;76;""
112;112;"1995-05-28 00:00:00";"";"328.066,19";"0";"2.262,52";"55,67";"0";"0";"145";"7858";"0";31;41;75;76;79;""
113;113;"1995-06-01 00:00:00";"";"0";"332.104,88";"1.534,90";"36,29";"0";"2";"219";"12349";"0";12;14;42;61;69;""
114;114;"1995-06-04 00:00:00";"";"0";"172.930,35";"1.266,89";"34,3";"0";"2";"273";"13445";"0";10;20;44;58;65;""
115;115;"1995-06-08 00:00:00";"";"0";"141.207,15";"1.510,24";"39,36";"0";"2";"187";"9567";"0";2;21;38;54;73;""
116;116;"1995-06-11 00:00:00";"";"0";"175.464,06";"1.222,75";"33,31";"0";"2";"287";"14048";"0";16;20;34;56;57;""
117;117;"1995-06-18 00:00:00";"";"0";"37.401,84";"492,72";"19,84";"0";"11";"835";"27654";"0";7;11;24;42;49;""
118;118;"1995-06-22 00:00:00";"";"0";"260.618,99";"1.212,18";"33,27";"0";"1";"215";"10446";"0";14;23;26;56;77;""
119;119;"1995-06-25 00:00:00";"";"0";"46.239,39";"453,33";"17,5";"0";"7";"714";"24667";"0";2;16;19;26;27;""
120;120;"1995-06-29 00:00:00";"";"0";"258.402,58";"1.734,25";"41,06";"0";"1";"149";"8392";"0";7;39;48;58;62;""
121;121;"1995-07-02 00:00:00";"";"0";"159.648,75";"1.033,32";"32,69";"0";"2";"309";"13023";"0";19;22;53;69;77;""
122;122;"1995-07-06 00:00:00";"";"0";"66.124,72";"673,03";"21,87";"0";"4";"393";"16129";"0";2;8;12;53;54;""
123;123;"1995-07-09 00:00:00";"";"0";"346.078,46";"1.688,19";"41,1";"0";"1";"205";"11227";"0";8;20;64;68;73;""
124;124;"1995-07-13 00:00:00";"";"0";"91.274,29";"425,19";"15,61";"0";"3";"644";"23387";"0";10;11;12;23;37;""
125;125;"1995-07-16 00:00:00";"";"344.133,18";"0";"809,73";"24,99";"0";"0";"425";"18357";"0";10;13;22;50;66;""
126;126;"1995-07-20 00:00:00";"";"0";"172.200,10";"669,26";"24,38";"0";"4";"515";"18851";"0";4;12;63;78;80;""
127;127;"1995-07-23 00:00:00";"";"0";"171.110,18";"922,43";"31,05";"0";"2";"371";"14697";"0";14;18;59;60;64;""
128;128;"1995-07-27 00:00:00";"";"0";"68.633,06";"732,09";"25,12";"0";"4";"375";"14572";"0";17;24;47;49;66;""
129;129;"1995-07-30 00:00:00";"";"0";"81.435,82";"471,41";"16,85";"0";"4";"691";"25782";"0";5;9;12;23;71;""
130;130;"1995-08-02 00:00:00";"";"0";"134.672,44";"849,67";"27,44";"0";"2";"317";"13086";"0";18;34;38;40;43;""
131;131;"1995-08-06 00:00:00";"";"340.818,76";"0";"1.065,06";"34,11";"0";"0";"320";"13324";"0";13;32;56;73;74;""
132;132;"1995-08-10 00:00:00";"";"0";"177.891,48";"1.147,82";"33,73";"0";"4";"323";"14657";"0";19;25;63;74;77;""
133;133;"1995-08-13 00:00:00";"";"0";"120.036,61";"623,03";"21,53";"0";"3";"578";"22304";"0";13;18;43;47;53;""
134;134;"1995-08-17 00:00:00";"";"0";"272.433,43";"1.918,54";"44,85";"0";"1";"142";"8100";"0";10;28;60;62;74;""
135;135;"1995-08-20 00:00:00";"";"0";"181.640,26";"1.932,35";"45,39";"0";"2";"188";"10672";"0";2;53;57;62;64;""
136;136;"1995-08-24 00:00:00";"";"0";"55.490,67";"671,8";"22,85";"0";"5";"413";"16193";"0";9;19;24;59;61;""
137;137;"1995-08-28 00:00:00";"";"0";"369.492,62";"1.006,79";"26,49";"0";"1";"367";"18598";"0";13;14;37;66;75;""
138;138;"1995-08-31 00:00:00";"";"261.517,32";"0";"857,43";"24,91";"0";"0";"305";"14000";"0";13;23;37;56;80;""
139;139;"1995-09-03 00:00:00";"";"0";"692.848,59";"1.257,53";"37,29";"0";"1";"343";"15425";"0";14;52;54;65;77;""
140;140;"1995-09-10 00:00:00";"";"463.058,80";"0";"1.184,29";"41,36";"0";"0";"391";"14928";"0";32;43;50;57;75;""
141;141;"1995-09-14 00:00:00";"";"0";"430.785,68";"991,32";"38,81";"0";"2";"402";"13691";"0";6;51;53;54;57;""
142;142;"1995-09-17 00:00:00";"";"0";"200.964,52";"945,72";"30,1";"0";"2";"425";"17807";"0";15;21;56;79;80;""
143;143;"1995-09-21 00:00:00";"";"298.652,06";"0";"1.171,19";"32,72";"0";"0";"255";"12171";"0";14;27;39;48;61;""
144;144;"1995-09-24 00:00:00";"";"0";"248.567,44";"1.109,31";"34,81";"0";"3";"403";"17126";"0";16;24;42;71;75;""
145;145;"1995-09-28 00:00:00";"";"0";"96.434,37";"824,23";"29,61";"0";"3";"351";"13028";"0";2;8;40;55;60;""
146;146;"1995-10-01 00:00:00";"";"0";"368.296,44";"844,72";"25,48";"0";"1";"436";"19273";"0";12;18;21;31;69;""
147;147;"1995-10-05 00:00:00";"";"0";"142.877,20";"1.544,62";"35,1";"0";"2";"185";"10857";"0";1;18;52;67;72;""
148;148;"1995-10-08 00:00:00";"";"0";"193.827,48";"1.909,63";"45,05";"0";"2";"203";"11474";"0";32;33;43;46;52;""
149;149;"1995-10-15 00:00:00";"";"0";"215.616,99";"700,05";"22,39";"0";"2";"616";"25679";"0";8;16;18;22;73;""
150;150;"1995-10-19 00:00:00";"";"0";"90.443,80";"1.059,89";"29,78";"0";"3";"256";"12149";"0";12;24;26;39;40;""
151;151;"1995-10-22 00:00:00";"";"0";"179.767,42";"1.252,74";"35,89";"0";"2";"287";"13358";"0";22;23;42;54;65;""
152;152;"1995-10-26 00:00:00";"";"0";"269.533,15";"1.020,96";"28,84";"0";"1";"264";"12460";"0";5;14;31;38;75;""
153;153;"1995-10-29 00:00:00";"";"0";"28.749,87";"353,85";"14,84";"0";"12";"975";"30984";"0";2;10;11;15;66;""
154;154;"1995-11-05 00:00:00";"";"0";"412.078,15";"981,14";"30,71";"0";"1";"420";"17888";"0";5;9;41;64;67;""
155;155;"1995-11-09 00:00:00";"";"275.795,69";"0";"1.345,35";"42,52";"0";"0";"205";"8648";"0";12;30;48;70;75;""
156;156;"1995-11-12 00:00:00";"";"0";"134.249,62";"839,61";"26,61";"0";"5";"471";"19816";"0";7;12;29;54;55;""
157;157;"1995-11-19 00:00:00";"";"444.266,48";"0";"2.301,90";"53,79";"0";"0";"193";"11013";"0";42;50;52;66;72;""
158;158;"1995-11-23 00:00:00";"";"0";"269.364,65";"1.070,08";"29,29";"0";"3";"340";"16565";"0";2;27;35;44;55;""
159;159;"1995-11-26 00:00:00";"";"0";"40.692,45";"487,66";"17,87";"0";"9";"751";"27331";"0";4;11;24;25;32;""
160;160;"1995-11-30 00:00:00";"";"0";"67.474,59";"1.255,34";"36,03";"0";"4";"215";"9987";"0";8;25;42;60;63;""
161;161;"1995-12-03 00:00:00";"";"366.015,35";"0";"1.671,30";"44,29";"0";"0";"219";"11020";"0";13;29;41;61;74;""
162;162;"1995-12-07 00:00:00";"";"0";"183.228,81";"1.825,37";"43,36";"0";"4";"201";"11282";"0";20;25;57;67;78;""
163;163;"1995-12-10 00:00:00";"";"0";"90.867,67";"987,69";"26,98";"0";"4";"368";"17960";"0";9;14;16;52;71;""
164;164;"1995-12-14 00:00:00";"";"0";"37.106,35";"373,87";"14,54";"0";"8";"794";"27223";"0";7;9;19;45;80;""
165;165;"1995-12-17 00:00:00";"";"0";"124.518,71";"703,5";"24,16";"0";"3";"531";"20617";"0";12;21;27;45;75;""
166;166;"1995-12-21 00:00:00";"";"0";"96.414,55";"1.171,03";"36,72";"0";"3";"247";"10504";"0";2;31;41;43;44;""
167;167;"1995-12-26 00:00:00";"";"0";"342.331,02";"2.282,21";"49,68";"0";"1";"150";"9187";"0";20;33;62;63;69;""
168;168;"1996-01-02 00:00:00";"";"0";"138.454,57";"1.361,85";"36,71";"0";"3";"305";"15088";"0";15;26;30;44;69;""
169;169;"1996-01-07 00:00:00";"";"0";"423.810,25";"950,25";"28,35";"0";"1";"446";"19934";"0";3;15;30;56;72;""
170;170;"1996-01-11 00:00:00";"";"0";"95.126,48";"1.097,61";"31,56";"0";"3";"260";"12056";"0";18;22;27;74;75;""
171;171;"1996-01-14 00:00:00";"";"0";"90.848,87";"877,77";"25,11";"0";"4";"414";"19297";"0";12;18;37;47;56;""
172;172;"1996-01-18 00:00:00";"";"0";"276.340,54";"1.424,43";"37,87";"0";"1";"194";"9730";"0";37;38;57;67;79;""
173;173;"1996-01-21 00:00:00";"";"0";"176.972,15";"1.493,43";"42,38";"0";"2";"237";"11135";"0";22;29;34;42;51;""
174;174;"1996-01-25 00:00:00";"";"0";"53.550,20";"619,79";"22,26";"0";"5";"432";"16042";"0";11;16;23;44;48;""
175;175;"1996-01-28 00:00:00";"";"0";"165.557,11";"1.994,66";"54,67";"0";"2";"166";"8076";"0";29;60;64;72;79;""
176;176;"1996-02-01 00:00:00";"";"0";"127.970,18";"1.551,16";"34,65";"0";"2";"165";"9849";"0";1;27;29;36;73;""
177;177;"1996-02-04 00:00:00";"";"0";"38.560,64";"974,85";"34,82";"0";"9";"356";"13289";"0";9;33;48;67;73;""
178;178;"1996-02-08 00:00:00";"";"0";"92.874,84";"767,56";"22,78";"0";"3";"363";"16307";"0";5;14;15;66;68;""
179;179;"1996-02-11 00:00:00";"";"0";"122.379,90";"2.134,54";"55,09";"0";"3";"172";"8886";"0";30;60;65;68;75;""
180;180;"1996-02-15 00:00:00";"";"0";"285.225,15";"941,34";"27,93";"0";"1";"303";"13615";"0";1;20;23;25;49;""
181;181;"1996-02-18 00:00:00";"";"0";"103.962,02";"1.213,57";"37,29";"0";"3";"257";"11150";"0";6;21;31;37;64;""
182;182;"1996-02-25 00:00:00";"";"0";"371.297,04";"1.330,82";"34,72";"0";"1";"279";"14259";"0";9;44;46;57;59;""
183;183;"1996-02-29 00:00:00";"";"0";"254.265,55";"1.550,40";"43,08";"0";"1";"164";"7869";"0";20;33;48;69;70;""
184;184;"1996-03-03 00:00:00";"";"0";"173.727,25";"1.423,99";"40,46";"0";"2";"244";"11451";"0";22;29;38;58;62;""
185;185;"1996-03-07 00:00:00";"";"0";"87.102,73";"731,96";"24,19";"0";"3";"357";"14403";"0";9;24;28;31;45;""
186;186;"1996-03-10 00:00:00";"";"383.051,74";"0";"1.140,04";"31,89";"0";"0";"336";"16018";"0";6;20;21;46;63;""
187;187;"1996-03-14 00:00:00";"";"0";"243.816,71";"1.339,99";"34,19";"0";"3";"260";"13588";"0";2;43;45;64;68;""
188;188;"1996-03-17 00:00:00";"";"0";"134.450,50";"1.272,40";"34,54";"0";"3";"317";"15569";"0";28;43;56;57;77;""
189;189;"1996-03-21 00:00:00";"";"271.702,83";"0";"1.191,68";"33,44";"0";"0";"228";"10832";"0";1;5;52;53;71;""
190;190;"1996-03-24 00:00:00";"";"709.701,05";"0";"1.479,73";"42,19";"0";"0";"296";"13843";"0";21;29;46;59;76;""
191;191;"1996-03-28 00:00:00";"";"0";"110.710,67";"402,22";"15,82";"0";"10";"988";"33505";"0";4;7;19;35;56;""
192;192;"1996-03-31 00:00:00";"";"0";"129.246,72";"794,55";"30,08";"0";"3";"488";"17189";"0";16;37;54;68;77;""
193;193;"1996-04-07 00:00:00";"";"0";"126.988,56";"1.032,43";"30,07";"0";"3";"369";"16893";"0";12;13;51;67;73;""
194;194;"1996-04-11 00:00:00";"";"0";"29.335,51";"437,85";"19,11";"0";"10";"670";"20463";"0";14;19;32;37;45;""
195;195;"1996-04-14 00:00:00";"";"0";"75.508,46";"1.210,07";"36,44";"0";"5";"312";"13815";"0";8;23;50;65;73;""
196;196;"1996-04-18 00:00:00";"";"0";"70.719,35";"1.136,06";"33,02";"0";"4";"249";"11422";"0";10;27;30;72;78;""
197;197;"1996-04-21 00:00:00";"";"0";"121.065,42";"662,76";"23,84";"0";"3";"548";"20313";"0";3;27;30;33;59;""
