53;53;1997-03-09;Brasília, DF;0;0;6.337,79;121,41;0;210;10941;3;13;16;38;42;46
54;54;1997-03-16;Brasília, DF;0;7.469.653,99;7.033,61;111,2;2;207;13067;5;9;18;21;36;56
55;55;1997-03-23;Brasília, DF;0;0;10.817,63;185,56;0;66;3840;2;14;23;29;38;52
56;56;1997-03-30;Brasília, DF;0;0;12.142,20;223,81;0;48;2599;2;7;20;35;51;59
57;57;1997-04-06;Brasília, DF;0;0;10.699,10;136,65;0;79;6173;7;16;17;27;34;59
58;58;1997-04-13;Brasília, DF;0;3.631.304,91;13.601,07;175,06;1;65;5040;12;27;30;37;44;49
59;59;1997-04-20;Brasília, DF;0;0;7.312,34;122,75;0;90;5351;2;8;13;28;34;54
60;60;1997-04-27;Brasília, DF;0;0;7.111,47;115,69;0;129;7914;3;14;15;20;21;38
61;61;1997-05-04;Brasília, DF;0;0;18.902,94;253,76;0;52;3866;8;18;29;42;44;59
62;62;1997-05-11;Brasília, DF;0;0;9.968,70;137,46;0;119;8613;6;8;13;24;31;52
63;63;1997-05-18;Brasília, DF;0;13.680.019,57;16.246,91;209,1;1;82;6359;9;25;26;40;41;49
64;64;1997-05-25;Brasília, DF;0;0;23.309,96;276,38;0;29;2441;8;12;23;50;54;60
65;65;1997-06-01;Brasília, DF;0;0;11.542,37;142,48;0;61;4932;1;5;20;25;32;34
66;66;1997-06-08;Brasília, DF;0;0;8.054,25;106,68;0;102;7686;12;13;15;26;33;48
67;67;1997-06-15;Brasília, DF;0;0;10.617,25;160,52;0;83;5479;12;14;17;27;47;52
68;68;1997-06-22;Brasília, DF;0;0;18.496,73;190,11;0;49;4758;1;3;12;13;53;59
69;69;1997-06-29;Brasília, DF;0;0;17.271,48;258,96;0;55;3661;25;34;45;53;56;58
70;70;1997-07-06;Brasília, DF;0;0;12.899,52;201,46;0;95;6071;17;23;27;40;43;58
71;71;1997-07-13;Brasília, DF;0;0;12.451,74;192,35;0;115;7430;16;27;33;43;45;53
72;72;1997-07-20;Brasília, DF;0;0;19.676,33;209,13;0;85;7982;1;19;34;43;44;48
73;73;1997-07-27;Brasília, DF;0;21.026.575,40;21.205,27;244,52;1;95;8222;25;26;28;45;51;57
74;74;1997-08-03;Brasília, DF;0;0;18.257,68;219,48;0;40;3321;2;24;34;37;38;50
75;75;1997-08-10;Brasília, DF;0;0;12.395,02;172,09;0;70;5032;21;24;35;36;37;49
76;76;1997-08-17;Brasília, DF;0;0;10.247,61;147,04;0;92;6399;8;17;18;23;33;53
77;77;1997-08-24;Brasília, DF;0;0;49.648,81;376,09;0;20;2635;21;29;40;49;54;57
78;78;1997-08-31;Brasília, DF;0;0;9.907,36;170,19;0;103;5984;12;22;25;31;32;46
79;79;1997-09-07;Brasília, DF;0;6.770.601,75;4.404,85;81,18;1;247;13375;2;13;17;25;31;43
80;80;1997-09-14;Brasília, DF;0;0;26.443,00;264,89;0;43;4284;23;28;37;40;48;51
81;81;1997-09-21;Brasília, DF;0;0;19.453,15;247,17;0;62;4870;10;23;41;47;54;60
82;82;1997-09-28;Brasília, DF;0;13.877.826,02;15.982,73;208,57;1;77;5889;15;18;29;36;51;53
83;83;1997-10-05;Brasília, DF;0;0;9.408,43;150,04;0;76;4756;4;15;16;24;42;57
84;84;1997-10-12;Brasília, DF;0;0;7.539,68;138,4;0;102;5546;4;6;10;25;34;40
85;85;1997-10-19;Brasília, DF;0;0;17.279,25;179,96;0;45;4312;6;15;30;37;45;47
86;86;1997-10-26;Brasília, DF;0;0;16.752,96;213,9;0;48;3752;6;21;22;34;36;54
87;87;1997-11-02;Brasília, DF;0;0;12.696,60;156,11;0;64;5195;4;5;11;28;32;40
88;88;1997-11-09;Brasília, DF;0;0;7.965,82;128,51;0;110;6805;4;18;29;37;43;45
89;89;1997-11-16;Brasília, DF;0;0;24.246,00;226,45;0;36;3847;13;34;42;44;55;59
90;90;1997-11-23;Brasília, DF;0;15.764.300,87;18.584,49;288,17;1;74;4763;9;21;26;40;52;54
91;91;1997-11-30;Brasília, DF;0;0;9.588,80;167,81;0;68;3878;2;4;10;35;39;60
92;92;1997-12-07;;;0;9.792,64;132,56;0;75;5530;1;3;5;23;24;51
93;93;1997-12-14;;;0;12.369,31;198,44;0;61;3795;2;22;28;31;36;53
94;94;1997-12-21;;;0;31.457,49;376,26;0;25;2086;8;18;28;51;52;55
95;95;1997-12-28;;;0;30.807,89;309,58;0;22;2185;6;40;45;46;50;60
96;96;1998-01-04;;;5.218.562,47;11.993,17;186,27;1;62;3984;4;7;26;40;42;58
97;97;1998-01-11;;;727.932,66;10.832,33;175,94;1;56;3441;5;11;14;35;53;56
98;98;1998-01-18;;;0;6.508,88;116,28;0;89;4972;13;14;31;33;35;43
99;99;1998-01-25;Brasília, DF;0;0;14.037,92;213,76;0;46;3015;11;24;30;33;46;60
100;100;1998-02-01;;;0;15.930,48;247,32;0;56;3600;14;29;30;46;48;51
101;101;1998-02-08;;;0;20.589,41;229,64;0;52;4653;1;18;29;31;37;39
102;102;1998-02-15;;;11.336.626,88;16.743,36;196,85;1;73;6197;19;20;37;42;44;56
103;103;1998-02-22;;;696.984,24;20.743,58;220,24;1;28;2632;1;7;9;49;54;57
104;104;1998-03-01;;;0;14.006,33;199,85;0;37;2588;1;4;13;21;38;52
