id;ddsconc;ddsdata;ddslocal;ddspremioest;ddspr07;ddspr06;ddspr05;ddspr04;ddsprmes;ddsgan07;ddsgan06;ddsgan05;ddsgan04;ddsganmes;dds01;dds02;dds03;dds04;dds05;dds06;dds07;ddsdmes;ddscidadesgan;;;;;;;;;;
32;32;2018-08-02;SÃO PAULO, SP;2.800.000,00;3.042.879,87;1.434,28;20,00;4,00;2,00;1;248;8.268;95.098;281.916;3;4;7;16;18;20;27;3;;;;;;;;;;;
33;33;2018-08-04;CATALÃO, GO;500.000,00;0,00;2.514,48;20,00;4,00;2,00;0;100;4.402;59.156;238.137;3;10;12;13;23;28;31;9;;;;;;;;;;;
34;34;2018-08-07;SÃO PAULO, SP;1.200.000,00;249.523,68;857,28;20,00;4,00;2,00;5;472;8.622;79.501;201.441;6;12;15;18;23;27;29;12;;;;;;;;;;;
35;35;2018-08-09;SÃO PAULO, SP;450.000,00;0,00;2.041,16;20,00;4,00;2,00;0;129;5.287;59.487;179.090;3;7;11;12;17;22;23;11;;;;;;;;;;;
36;36;2018-08-11;RIBEIRÃO DOS ÍNDIOS, SP;1.100.000,00;0,00;1.879,27;20,00;4,00;2,00;0;166;6.375;82.051;178.356;2;7;11;12;13;16;27;6;;;;;;;;;;;
37;37;2018-08-14;SÃO PAULO, SP;2.000.000,00;1.050.708,38;1.549,24;20,00;4,00;2,00;2;210;6.984;91.231;206.448;2;7;12;16;18;22;23;1;;;;;;;;;;;
38;38;2018-08-16;SÃO PAULO, SP;500.000,00;0,00;2.494,98;20,00;4,00;2,00;0;113;4.353;56.796;154.846;8;15;17;18;26;29;30;7;;;;;;;;;;;
39;39;2018-08-18;CORIBE, BA;1.200.000,00;654.649,21;1.551,09;20,00;4,00;2,00;2;180;5.920;71.800;221.826;4;5;6;9;13;25;30;3;;;;;;;;;;;
40;40;2018-08-21;SÃO PAULO, SP;500.000,00;267.405,22;1.537,25;20,00;4,00;2,00;2;213;5.909;67.154;237.819;2;10;12;14;19;21;27;9;;;;;;;;;;;
41;41;2018-08-23;SÃO PAULO, SP;450.000,00;582.726,79;2.047,05;20,00;4,00;2,00;1;122;4.717;59.217;153.773;7;12;23;25;27;30;31;12;;;;;;;;;;;
42;42;2018-08-25;ITABELA, BA;500.000,00;0,00;3.442,88;20,00;4,00;2,00;0;75;3.232;44.555;136.430;6;11;14;16;17;29;31;6;;;;;;;;;;;
43;43;2018-08-28;SÃO PAULO, SP;1.000.000,00;1.195.763,44;1.753,48;20,00;4,00;2,00;1;145;4.770;58.528;188.443;4;7;17;18;27;28;31;4;;;;;;;;;;;
44;44;2018-08-30;SÃO PAULO, SP;500.000,00;0,00;1.636,10;20,00;4,00;2,00;0;145;4.151;50.510;131.092;7;9;15;23;26;30;31;6;;;;;;;;;;;
45;45;2018-09-01;SÃO JOSÉ DO CEDRO, SC;1.000.000,00;521.455,52;1.388,92;20,00;4,00;2,00;2;151;5.380;65.854;245.816;2;5;7;12;15;29;30;9;;;;;;;;;;;
46;46;2018-09-04;SÃO PAULO, SP;500.000,00;0,00;1.865,60;20,00;4,00;2,00;0;123;4.490;53.357;189.424;1;4;5;8;10;16;30;8;;;;;;;;;;;
