id;ddsconc;ddsdata;ddslocal;ddspremioest;ddspr07;ddspr06;ddspr05;ddspr04;ddsprmes;ddsgan07;ddsgan06;ddsgan05;ddsgan04;ddsganmes;dds01;dds02;dds03;dds04;dds05;dds06;dds07;ddsdmes;ddscidadesgan;;;;;;;;;;
141;141;2019-04-23;SÃO PAULO, SP;300.000,00;341.306,57;1.770,87;20,00;4,00;2,00;1;118;3.468;36.171;74.833;2;7;9;15;23;25;30;7;;;;;;;;;;;
142;142;2019-04-25;SÃO PAULO, SP;350.000,00;0,00;5.036,48;20,00;4,00;2,00;0;32;2.081;28.032;82.271;6;11;18;21;23;29;30;6;;;;;;;;;;;
143;143;2019-04-27;SÃO PAULO, SP;800.000,00;775.843,87;2.904,02;20,00;4,00;2,00;1;59;2.324;30.113;91.824;5;10;11;15;22;29;31;1;;;;;;;;;;;
144;144;2019-04-30;SÃO PAULO, SP;350.000,00;306.019,88;1.292,13;20,00;4,00;2,00;1;145;4.529;46.567;97.397;2;4;7;8;13;15;27;11;;;;;;;;;;;
145;145;2019-05-02;SÃO PAULO, SP;300.000,00;254.815,69;1.985,58;20,00;4,00;2,00;1;55;2.057;25.557;65.245;2;3;6;10;11;13;15;12;;;;;;;;;;;
146;146;2019-05-04;SÃO PAULO, SP;250.000,00;0,00;1.827,57;20,00;4,00;2,00;0;73;2.438;31.841;110.510;1;8;9;17;18;19;23;3;;;;;;;;;;;
147;147;2019-05-07;SÃO PAULO, SP;650.000,00;0,00;1.932,71;20,00;4,00;2,00;0;80;3.468;39.689;89.797;2;3;6;8;9;22;27;1;;;;;;;;;;;
148;148;2019-05-09;SÃO PAULO, SP;1.000.000,00;1.047.837,00;1.731,66;20,00;4,00;2,00;1;93;3.139;39.782;168.679;7;9;11;18;21;22;29;9;;;;;;;;;;;
149;149;2019-05-11;SÃO PAULO, SP;300.000,00;0,00;3.633,22;20,00;4,00;2,00;0;39;1.718;23.689;97.777;3;16;20;21;25;26;30;8;;;;;;;;;;;
150;150;2019-05-14;SÃO PAULO, SP;650.000,00;762.631,31;4.207,87;20,00;4,00;2,00;1;44;2.258;34.438;121.314;1;2;7;16;17;26;29;8;;;;;;;;;;;
151;151;2019-05-16;SÃO PAULO, SP;350.000,00;373.866,49;1.741,62;20,00;4,00;2,00;1;92;2.983;35.980;104.030;3;11;13;17;22;29;31;11;;;;;;;;;;;
152;152;2019-05-18;SÃO PAULO, SP;350.000,00;0,00;2.042,14;20,00;4,00;2,00;0;81;2.747;34.174;83.292;1;3;5;10;14;25;31;7;;;;;;;;;;;
153;153;2019-05-21;SÃO PAULO, SP;650.000,00;823.465,14;2.568,50;20,00;4,00;2,00;1;73;2.787;37.755;106.283;2;13;21;23;25;29;30;6;;;;;;;;;;;
154;154;2019-05-23;SÃO PAULO, SP;350.000,00;0,00;1.702,46;20,00;4,00;2,00;0;90;3.408;35.327;94.102;3;5;9;14;21;29;30;12;;;;;;;;;;;
155;155;2019-05-25;SÃO PAULO, SP;700.000,00;363.781,53;2.233,68;20,00;4,00;2,00;2;71;3.193;41.176;139.492;3;13;15;16;25;27;28;5;;;;;;;;;;;
156;156;2019-05-28;SÃO PAULO, SP;300.000,00;0,00;1.486,55;20,00;4,00;2,00;0;95;2.844;34.413;113.093;1;3;7;15;16;29;31;4;;;;;;;;;;;
157;157;2019-05-30;SÃO PAULO, SP;700.000,00;726.827,88;2.398,24;20,00;4,00;2,00;1;71;2.710;36.027;97.662;2;10;17;18;20;25;29;12;;;;;;;;;;;
158;158;2019-06-01;SÃO PAULO, SP;300.000,00;0,00;2.366,35;20,00;4,00;2,00;0;59;2.601;33.301;114.393;7;14;20;23;27;28;29;3;;;;;;;;;;;
159;159;2019-06-04;SÃO PAULO, SP;700.000,00;727.243,48;1.564,19;20,00;4,00;2,00;1;110;3.207;37.916;157.737;1;10;14;17;23;28;31;10;;;;;;;;;;;
160;160;2019-06-06;SÃO PAULO, SP;250.000,00;350.784,66;1.405,02;20,00;4,00;2,00;1;107;3.728;42.095;106.377;4;8;9;12;13;25;30;11;;;;;;;;;;;
161;161;2019-06-08;SÃO PAULO, SP;300.000,00;0,00;2.076,25;20,00;4,00;2,00;0;74;2.644;33.942;93.520;2;3;5;14;15;20;25;12;;;;;;;;;;;
162;162;2019-06-11;SÃO PAULO, SP;800.000,00;0,00;4.497,60;20,00;4,00;2,00;0;42;2.649;32.275;96.840;6;10;11;14;20;24;25;7;;;;;;;;;;;
163;163;2019-06-13;SÃO PAULO, SP;1.200.000,00;0,00;1.859,78;20,00;4,00;2,00;0;101;3.835;45.624;114.233;7;10;16;18;24;25;27;12;;;;;;;;;;;
164;164;2019-06-15;SÃO PAULO, SP;1.800.000,00;0,00;1.756,27;20,00;4,00;2,00;0;106;3.929;49.210;185.531;7;10;12;13;17;21;22;9;;;;;;;;;;;
165;165;2019-06-18;SÃO PAULO, SP;2.100.000,00;0,00;1.718,04;20,00;4,00;2,00;0;137;5.196;64.433;184.328;4;5;7;8;11;19;24;2;;;;;;;;;;;
166;166;2019-06-22;SÃO PAULO, SP;2.700.000,00;2.861.789,87;2.064,41;20,00;4,00;2,00;1;133;5.237;66.333;244.612;6;7;11;19;22;23;25;9;;;;;;;;;;;
167;167;2019-06-25;SÃO PAULO, SP;300.000,00;0,00;3.356,34;20,00;4,00;2,00;0;45;2.455;31.723;112.323;10;11;12;13;15;20;26;8;;;;;;;;;;;
168;168;2019-06-27;SÃO PAULO, SP;700.000,00;0,00;2.797,55;20,00;4,00;2,00;0;65;2.505;34.351;135.698;1;3;4;20;23;25;26;3;;;;;;;;;;;
169;169;2019-06-29;SÃO PAULO, SP;1.000.000,00;0,00;1.096,00;20,00;4,00;2,00;0;236;3.587;42.577;160.691;9;11;14;18;24;26;29;10;;;;;;;;;;;
170;170;2019-07-02;SÃO PAULO, SP;1.500.000,00;0,00;2.194,87;20,00;4,00;2,00;0;108;3.784;42.875;145.604;1;9;10;11;15;20;21;6;;;;;;;;;;;
171;171;2019-07-04;SÃO PAULO, SP;2.200.000,00;1.142.114,33;1.356,98;20,00;4,00;2,00;2;240;6.350;67.103;177.074;3;7;11;18;20;23;29;12;;;;;;;;;;;
172;172;2019-07-06;SÃO PAULO, SP;350.000,00;0,00;1.660,07;20,00;4,00;2,00;0;96;3.236;38.949;139.272;3;6;10;21;25;27;30;10;;;;;;;;;;;
173;173;2019-07-09;SÃO PAULO, SP;700.000,00;0,00;1.631,91;20,00;4,00;2,00;0;129;4.261;44.768;114.394;2;7;11;13;25;27;28;4;;;;;;;;;;;
174;174;2019-07-11;SÃO PAULO, SP;1.100.000,00;562.507,68;1.716,44;20,00;4,00;2,00;2;146;5.091;58.018;136.088;3;5;6;7;17;19;25;2;;;;;;;;;;;
175;175;2019-07-13;SÃO PAULO, SP;350.000,00;131.342,20;3.311,15;20,00;4,00;2,00;3;51;2.068;29.755;101.721;4;6;7;17;21;26;31;12;;;;;;;;;;;
176;176;2019-07-16;SÃO PAULO, SP;300.000,00;0,00;2.142,12;20,00;4,00;2,00;0;73;3.305;41.777;91.906;3;4;6;9;10;18;29;6;;;;;;;;;;;
177;177;2019-07-18;SÃO PAULO, SP;700.000,00;0,00;1.872,47;20,00;4,00;2,00;0;86;3.074;41.734;141.570;3;11;17;18;24;25;28;10;;;;;;;;;;;
178;178;2019-07-20;SÃO PAULO, SP;1.100.000,00;0,00;2.493,22;20,00;4,00;2,00;0;68;2.992;43.186;178.472;2;3;4;9;12;23;24;9;;;;;;;;;;;
179;179;2019-07-23;SÃO PAULO, SP;1.500.000,00;1.617.504,98;2.678,83;20,00;4,00;2,00;1;77;3.177;45.038;173.121;3;4;5;11;21;24;30;10;;;;;;;;;;;
180;180;2019-07-25;SÃO PAULO, SP;350.000,00;0,00;2.372,75;20,00;4,00;2,00;0;62;2.636;32.009;106.702;5;13;20;21;23;25;30;11;;;;;;;;;;;
181;181;2019-07-27;SÃO PAULO, SP;700.000,00;0,00;1.744,13;20,00;4,00;2,00;0;127;3.693;41.765;130.891;6;8;10;15;17;26;28;8;;;;;;;;;;;
182;182;2019-07-30;SÃO PAULO, SP;1.100.000,00;0,00;2.025,66;20,00;4,00;2,00;0;91;3.589;45.007;162.863;2;3;7;15;22;26;31;10;;;;;;;;;;;
183;183;2019-08-01;SÃO PAULO, SP;1.500.000,00;1.653.093,60;1.596,91;20,00;4,00;2,00;1;139;4.480;55.851;154.160;5;7;16;17;21;24;27;11;;;;;;;;;;;
184;184;2019-08-03;SÃO PAULO, SP;350.000,00;0,00;2.096,37;20,00;4,00;2,00;0;72;2.605;32.820;127.244;6;9;10;14;16;17;22;8;;;;;;;;;;;
185;185;2019-08-06;SÃO PAULO, SP;700.000,00;0,00;2.157,15;20,00;4,00;2,00;0;83;3.699;42.693;95.822;7;11;18;21;24;28;29;6;;;;;;;;;;;
186;186;2019-08-08;SÃO PAULO, SP;1.200.000,00;1.184.393,93;1.794,10;20,00;4,00;2,00;1;99;3.673;48.770;198.138;6;15;17;22;23;26;27;9;;;;;;;;;;;
187;187;2019-08-10;SÃO PAULO, SP;300.000,00;145.273,65;1.178,05;20,00;4,00;2,00;2;151;4.865;40.213;137.162;1;3;6;15;17;23;26;10;;;;;;;;;;;
188;188;2019-08-13;SÃO PAULO, SP;300.000,00;0,00;2.495,34;20,00;4,00;2,00;0;64;2.639;35.031;106.279;8;12;21;23;24;26;28;5;;;;;;;;;;;
189;189;2019-08-15;SÃO PAULO, SP;700.000,00;363.088,70;1.424,03;20,00;4,00;2,00;2;152;4.226;45.875;116.243;2;7;13;16;18;20;29;11;;;;;;;;;;;
190;190;2019-08-17;SÃO PAULO, SP;300.000,00;356.485,50;1.933,92;20,00;4,00;2,00;1;79;2.645;36.776;83.880;3;4;5;6;14;16;27;7;;;;;;;;;;;
191;191;2019-08-20;SÃO PAULO, SP;350.000,00;298.540,43;1.909,64;20,00;4,00;2,00;1;67;2.616;34.973;129.521;3;4;11;24;26;28;29;10;;;;;;;;;;;
192;192;2019-08-22;SÃO PAULO, SP;300.000,00;0,00;3.656,65;20,00;4,00;2,00;0;41;1.659;24.700;96.344;4;11;14;15;18;28;31;12;;;;;;;;;;;
193;193;2019-08-24;SÃO PAULO, SP;600.000,00;0,00;2.057,75;20,00;4,00;2,00;0;76;2.505;32.205;79.410;12;13;16;25;28;30;31;7;;;;;;;;;;;
194;194;2019-08-27;SÃO PAULO, SP;1.000.000,00;1.051.957,53;1.200,39;20,00;4,00;2,00;1;172;4.423;48.535;101.268;3;4;7;9;15;21;23;1;;;;;;;;;;;
195;195;2019-08-29;São Paulo, SP;350.000,00;0,00;1.899,43;20,00;4,00;2,00;0;68;2.304;29.765;87.970;2;3;5;14;15;22;23;2;;;;;;;;;;;
196;196;2019-08-31;SÃO PAULO, SP;600.000,00;0,00;2.566,05;20,00;4,00;2,00;0;53;2.171;29.465;118.089;4;13;14;22;26;29;30;8;;;;;;;;;;;
197;197;2019-09-03;SÃO PAULO, SP;1.000.000,00;990.900,83;4.691,47;20,00;4,00;2,00;1;34;2.277;32.854;111.859;1;2;4;11;17;18;28;4;;;;;;;;;;;
198;198;2019-09-05;SÃO PAULO, SP;300.000,00;0,00;2.152,41;20,00;4,00;2,00;0;64;2.382;28.965;79.210;1;2;9;10;16;23;28;1;;;;;;;;;;;
199;199;2019-09-10;SÃO PAULO, SP;700.000,00;0,00;3.114,20;20,00;4,00;2,00;0;68;2.904;37.117;104.568;2;15;20;21;22;23;24;7;;;;;;;;;;;
200;200;2019-09-12;SÃO PAULO, SP;1.200.000,00;0,00;2.196,77;20,00;4,00;2,00;0;87;3.131;40.975;120.727;10;12;13;17;21;23;27;2;;;;;;;;;;;
201;201;2019-09-14;SÃO PAULO, SP;1.600.000,00;0,00;1.798,51;20,00;4,00;2,00;0;145;4.887;50.248;101.524;2;7;9;13;14;16;29;6;;;;;;;;;;;
202;202;2019-09-17;SÃO PAULO, SP;2.000.000,00;0,00;2.634,57;20,00;4,00;2,00;0;66;3.330;45.552;213.295;5;6;7;11;21;26;29;9;;;;;;;;;;;
203;203;2019-09-19;SÃO PAULO, SP;2.500.000,00;0,00;1.479,03;20,00;4,00;2,00;0;142;4.725;58.291;149.509;2;3;7;10;15;17;20;12;;;;;;;;;;;
204;204;2019-09-21;SÃO PAULO, SP;3.000.000,00;0,00;3.219,89;20,00;4,00;2,00;0;81;2.931;41.412;131.570;2;11;20;21;27;28;31;6;;;;;;;;;;;
205;205;2019-09-24;SÃO PAULO, SP;3.600.000,00;3.770.060,27;1.835,83;20,00;4,00;2,00;1;135;5.240;64.235;174.155;5;6;9;17;19;20;23;5;;;;;;;;;;;
206;206;2019-09-26;SÃO PAULO, SP;350.000,00;0,00;2.214,20;20,00;4,00;2,00;0;64;2.351;32.245;89.352;13;16;21;23;24;27;28;12;;;;;;;;;;;
207;207;2019-09-28;SÃO PAULO, SP;700.000,00;712.551,84;1.528,20;20,00;4,00;2,00;1;153;4.146;41.652;89.108;1;5;8;10;12;25;28;7;;;;;;;;;;;
208;208;2019-10-01;SÃO PAULO, SP;350.000,00;0,00;1.990,37;20,00;4,00;2,00;0;66;2.497;34.042;160.923;2;4;17;21;28;29;31;Outubro;;;;;;;;;;;
209;209;2019-10-03;SÃO PAULO, SP;600.000,00;0,00;1.783,04;20,00;4,00;2,00;0;120;4.246;46.649;122.637;5;7;14;17;19;23;29;Agosto;;;;;;;;;;;
210;210;2019-10-05;SÃO PAULO, SP;1.000.000,00;0,00;1.865,68;20,00;4,00;2,00;0;93;3.857;49.343;120.334;7;10;18;19;20;23;27;Dezembro;;;;;;;;;;;
211;211;2019-10-08;SÃO PAULO, SP;1.400.000,00;0,00;1.808,80;20,00;4,00;2,00;0;111;3.948;47.962;135.540;1;5;13;24;26;27;29;Maio;;;;;;;;;;;
212;212;2019-10-10;SÃO PAULO, SP;2.000.000,00;1.970.850,61;1.478,33;20,00;4,00;2,00;1;128;3.698;47.803;206.895;5;11;14;17;18;26;30;Outubro;;;;;;;;;;;
213;213;2019-10-15;SÃO PAULO, SP;350.000,00;0,00;2.215,63;20,00;4,00;2,00;0;73;3.023;38.181;168.746;6;9;10;18;21;24;26;Setembro;;;;;;;;;;;
214;214;2019-10-17;SÃO PAULO, SP;700.000,00;0,00;2.038,30;20,00;4,00;2,00;0;79;3.266;39.445;105.122;2;9;11;13;21;28;29;Maio;;;;;;;;;;;
215;215;2019-10-19;SÃO PAULO, SP;1.100.000,00;1.147.250,35;1.527,23;20,00;4,00;2,00;1;158;4.527;49.375;99.154;4;7;11;13;15;18;25;Junho;;;;;;;;;;;
216;216;2019-10-22;SÃO PAULO, SP;350.000,00;0,00;1.505,31;20,00;4,00;2,00;0;88;2.668;34.185;98.432;5;8;9;14;25;28;30;Agosto;;;;;;;;;;;
217;217;2019-10-24;SÃO PAULO, SP;700.000,00;0,00;3.042,10;20,00;4,00;2,00;0;43;2.116;30.356;130.673;2;6;16;17;18;20;26;Setembro;;;;;;;;;;;
218;218;2019-10-26;SÃO PAULO, SP;900.000,00;0,00;2.344,05;20,00;4,00;2,00;0;62;2.627;34.966;137.694;2;3;11;12;17;18;21;Setembro;;;;;;;;;;;
219;219;2019-10-29;SÃO PAULO, SP;1.300.000,00;0,00;1.634,29;20,00;4,00;2,00;0;96;3.862;44.043;132.484;3;6;10;16;17;25;28;Março;;;;;;;;;;;
220;220;2019-10-31;SÃO PAULO, SP;1.700.000,00;878.215,74;2.057,77;20,00;4,00;2,00;2;91;3.343;41.935;123.282;2;4;9;17;19;25;31;Fevereiro;;;;;;;;;;;
221;221;2019-11-05;SÃO PAULO, SP;400.000,00;193.066,20;1.818,52;20,00;4,00;2,00;2;130;4.075;47.759;120.806;3;6;7;9;15;27;31;Dezembro;;;;;;;;;;;
222;222;2019-11-07;SÃO PAULO, SP;350.000,00;0,00;1.898,78;20,00;4,00;2,00;0;73;3.082;38.453;100.848;3;12;13;16;18;19;27;Abril;;;;;;;;;;;
223;223;2019-11-09;SÃO PAULO, SP;700.000,00;0,00;2.142,74;20,00;4,00;2,00;0;68;2.834;35.775;98.107;3;4;10;11;14;19;28;Dezembro;;;;;;;;;;;
224;224;2019-11-12;SÃO PAULO, SP;1.000.000,00;1.019.641,47;1.744,82;20,00;4,00;2,00;1;125;3.387;37.566;114.767;1;6;8;14;17;19;23;Março;;;;;;;;;;;
225;225;2019-11-14;SÃO PAULO, SP;300.000,00;0,00;1.815,42;20,00;4,00;2,00;0;78;1.970;27.510;90.851;1;7;12;14;22;24;26;Abril;;;;;;;;;;;
226;226;2019-11-16;SÃO PAULO, SP;600.000,00;0,00;1.719,11;20,00;4,00;2,00;0;60;1.965;22.952;66.955;1;4;8;12;22;24;28;Fevereiro;;;;;;;;;;;
227;227;2019-11-19;SÃO PAULO, SP;800.000,00;0,00;2.472,05;20,00;4,00;2,00;0;64;2.537;33.355;82.283;2;11;12;15;17;20;25;Junho;;;;;;;;;;;
228;228;2019-11-21;SÃO PAULO, SP;1.300.000,00;1.321.184,74;2.066,60;20,00;4,00;2,00;1;79;2.560;34.415;122.969;4;10;14;18;21;22;23;Dezembro;;;;;;;;;;;
229;229;2019-11-23;SÃO PAULO, SP;350.000,00;311.479,54;1.466,94;20,00;4,00;2,00;1;91;2.648;30.908;69.849;9;13;15;21;25;27;30;Junho;;;;;;;;;;;
230;230;2019-11-26;SÃO PAULO, SP;300.000,00;284.160,99;1.308,09;20,00;4,00;2,00;1;133;3.643;36.261;86.675;5;8;12;18;24;27;29;Maio;;;;;;;;;;;
231;231;2019-11-28;SÃO PAULO, SP;350.000,00;0,00;1.808,03;20,00;4,00;2,00;0;73;2.058;28.617;85.993;4;10;12;13;14;24;26;Fevereiro;;;;;;;;;;;
232;232;2019-11-30;SÃO PAULO, SP;600.000,00;0,00;1.797,38;20,00;4,00;2,00;0;76;2.197;28.405;119.611;4;5;6;12;15;16;26;Novembro;;;;;;;;;;;
233;233;2019-12-03;SÃO PAULO, SP;1.000.000,00;329.116,44;1.756,40;20,00;4,00;2,00;3;88;3.954;46.997;143.027;3;6;7;16;22;23;28;Dezembro;;;;;;;;;;;
234;234;2019-12-05;SÃO PAULO, SP;300.000,00;0,00;1.558,42;20,00;4,00;2,00;0;115;3.752;40.039;111.472;4;5;13;17;23;24;29;Dezembro;;;;;;;;;;;
235;235;2019-12-07;SÃO PAULO, SP;600.000,00;0,00;1.942,65;20,00;4,00;2,00;0;78;2.717;36.828;108.275;13;17;18;19;22;27;29;Agosto;;;;;;;;;;;
236;236;2019-12-10;SÃO PAULO, SP;1.000.000,00;1.026.043,70;2.034,41;20,00;4,00;2,00;1;80;3.592;41.850;113.112;4;5;6;9;11;19;23;Abril;;;;;;;;;;;
237;237;2019-12-12;SÃO PAULO, SP;300.000,00;334.008,12;2.346,66;20,00;4,00;2,00;1;61;2.608;32.001;95.831;3;6;14;18;19;29;31;Agosto;;;;;;;;;;;
238;238;2019-12-14;SÃO PAULO, SP;300.000,00;0,00;3.059,12;20,00;4,00;2,00;0;46;2.114;28.547;93.423;1;2;10;19;24;26;28;Agosto;;;;;;;;;;;
239;239;2019-12-17;SÃO PAULO, SP;700.000,00;326.688,02;1.514,12;20,00;4,00;2,00;2;92;3.363;40.220;98.603;5;13;15;23;27;29;30;Agosto;;;;;;;;;;;
240;240;2019-12-19;SÃO PAULO, SP;350.000,00;0,00;1.552,24;20,00;4,00;2,00;0;106;3.199;32.972;121.190;1;4;8;13;19;22;25;Outubro;;;;;;;;;;;
241;241;2019-12-21;SÃO PAULO, SP;600.000,00;0,00;2.612,08;20,00;4,00;2,00;0;58;2.302;32.002;81.614;3;5;6;12;20;23;31;Julho;;;;;;;;;;;
242;242;2019-12-24;SÃO PAULO, SP;900.000,00;0,00;2.127,64;20,00;4,00;2,00;0;61;2.839;37.038;91.131;2;3;5;9;16;19;25;Fevereiro;;;;;;;;;;;
243;243;2019-12-26;SÃO PAULO, SP;1.100.000,00;0,00;1.535,34;20,00;4,00;2,00;0;82;2.921;34.114;83.461;2;4;8;13;14;17;22;Fevereiro;;;;;;;;;;;
244;244;2019-12-28;SÃO PAULO, SP;1.500.000,00;0,00;1.356,70;20,00;4,00;2,00;0;110;2.335;33.571;144.343;1;6;12;13;15;16;29;Dezembro;;;;;;;;;;;
245;245;2019-12-30;SÃO PAULO, SP;1.800.000,00;0,00;2.182,06;20,00;4,00;2,00;0;51;1.811;22.609;70.672;1;5;7;14;21;30;31;Maio;;;;;;;;;;;
246;246;2020-01-02;SÃO PAULO, SP;2.100.000,00;0,00;2.316,96;20,00;4,00;2,00;0;83;3.004;40.409;112.701;9;10;14;16;18;19;24;Maio;;;;;;;;;;;
247;247;2020-01-04;SÃO PAULO, SP;2.600.000,00;2.793.140,47;1.853,54;20,00;4,00;2,00;1;171;5.351;59.728;172.904;2;9;10;12;17;25;28;Agosto;;;;;;;;;;;
248;248;2020-01-07;SÃO PAULO, SP;300.000,00;0,00;1.578,68;20,00;4,00;2,00;0;95;3.428;38.598;82.847;2;5;14;16;17;18;22;Junho;;;;;;;;;;;
249;249;2020-01-09;SÃO PAULO, SP;700.000,00;690.105,85;1.679,55;20,00;4,00;2,00;1;124;3.525;39.762;157.547;3;8;12;20;21;27;29;Setembro;;;;;;;;;;;
250;250;2020-01-11;SÃO PAULO, SP;300.000,00;332.307,29;2.034,53;20,00;4,00;2,00;1;70;2.496;31.176;103.971;1;5;10;14;15;29;30;Dezembro;;;;;;;;;;;
251;251;2020-01-14;SÃO PAULO, SP;300.000,00;109.615,97;1.854,41;20,00;4,00;2,00;3;76;2.297;29.211;108.372;5;11;14;18;20;27;31;Março;;;;;;;;;;;
252;252;2020-01-16;SÃO PAULO, SP;300.000,00;154.788,08;1.876,59;20,00;4,00;2,00;2;101;3.198;33.861;97.055;4;9;12;19;25;28;31;Dezembro;;;;;;;;;;;
253;253;2020-01-18;SÃO PAULO, SP;350.000,00;309.779,10;2.074,41;20,00;4,00;2,00;1;64;2.788;35.210;94.162;4;12;14;19;23;28;29;Abril;;;;;;;;;;;
254;254;2020-01-21;SÃO PAULO, SP;350.000,00;0,00;2.831,54;20,00;4,00;2,00;0;50;1.793;25.147;100.515;18;20;21;22;25;27;31;Fevereiro;;;;;;;;;;;
255;255;2020-01-23;SÃO PAULO, SP;650.000,00;717.917,12;3.134,00;20,00;4,00;2,00;1;53;2.571;34.412;85.226;3;11;23;24;25;28;30;Julho;;;;;;;;;;;
256;256;2020-01-25;SÃO PAULO, SP;200.000,00;293.932,34;1.615,02;20,00;4,00;2,00;1;78;2.411;27.412;90.782;1;5;12;16;27;30;31;Dezembro;;;;;;;;;;;
257;257;2020-01-28;SÃO PAULO, SP;350.000,00;147.161,00;1.079,02;20,00;4,00;2,00;2;167;3.490;35.981;88.746;5;12;17;19;21;24;28;Maio;;;;;;;;;;;
258;258;2020-01-30;SÃO PAULO, SP;300.000,00;330.150,28;3.144,29;20,00;4,00;2,00;1;45;2.180;29.283;69.237;1;2;3;9;13;24;30;Julho;;;;;;;;;;;
259;259;2020-02-01;SÃO PAULO, SP;300.000,00;136.328,69;1.645,82;20,00;4,00;2,00;2;71;2.833;30.997;117.862;6;9;10;13;21;26;29;Setembro;;;;;;;;;;;
260;260;2020-02-04;SÃO PAULO, SP;300.000,00;0,00;1.714,83;20,00;4,00;2,00;0;81;3.063;32.458;75.447;5;8;10;12;18;24;31;Junho;;;;;;;;;;;
261;261;2020-02-06;SÃO PAULO, SP;700.000,00;716.287,72;2.271,34;20,00;4,00;2,00;1;74;2.789;36.068;113.338;5;8;9;18;23;26;31;Abril;;;;;;;;;;;
262;262;2020-02-08;SÃO PAULO, SP;350.000,00;0,00;1.827,70;20,00;4,00;2,00;0;80;2.550;32.186;75.432;4;5;17;18;20;27;28;Junho;;;;;;;;;;;
263;263;2020-02-11;SÃO PAULO, SP;700.000,00;0,00;2.339,13;20,00;4,00;2,00;0;66;2.662;35.344;115.207;9;18;19;21;23;27;30;Dezembro;;;;;;;;;;;
264;264;2020-02-13;SÃO PAULO, SP;1.000.000,00;0,00;3.268,51;20,00;4,00;2,00;0;58;2.591;35.466;125.792;13;15;22;23;25;30;31;Dezembro;;;;;;;;;;;
265;265;2020-02-15;SÃO PAULO, SP;1.500.000,00;788.775,40;1.536,54;20,00;4,00;2,00;2;121;3.523;44.193;123.956;2;3;14;16;17;20;27;Novembro;;;;;;;;;;;
266;266;2020-02-18;SÃO PAULO, SP;300.000,00;302.796,63;1.598,15;20,00;4,00;2,00;1;116;2.926;30.016;97.192;1;3;10;14;17;30;31;Dezembro;;;;;;;;;;;
267;267;2020-02-20;SÃO PAULO, SP;350.000,00;0,00;2.585,50;20,00;4,00;2,00;0;49;2.363;27.891;112.519;1;2;6;9;13;20;30;Outubro;;;;;;;;;;;
268;268;2020-02-22;SÃO PAULO, SP;600.000,00;589.851,20;1.699,51;20,00;4,00;2,00;1;106;3.424;34.156;111.496;2;3;14;16;17;21;29;Março;;;;;;;;;;;
269;269;2020-02-26;SÃO PAULO, SP;200.000,00;0,00;4.075,68;20,00;4,00;2,00;0;19;999;13.773;41.056;1;4;6;9;26;27;31;Junho;;;;;;;;;;;
270;270;2020-02-27;SÃO PAULO, SP;300.000,00;189.833,26;1.765,55;20,00;4,00;2,00;2;69;1.505;19.638;67.817;1;2;3;4;24;27;28;Março;;;;;;;;;;;
271;271;2020-02-29;SÃO PAULO, SP;350.000,00;0,00;2.207,27;20,00;4,00;2,00;0;66;2.365;30.331;72.018;7;15;17;20;21;24;29;Julho;;;;;;;;;;;
272;272;2020-03-03;SÃO PAULO, SP;650.000,00;0,00;2.007,28;20,00;4,00;2,00;0;77;2.967;37.768;118.403;3;5;6;10;12;16;21;Fevereiro;;;;;;;;;;;
273;273;2020-03-05;SÃO PAULO, SP;1.000.000,00;0,00;2.955,70;20,00;4,00;2,00;0;64;2.960;40.115;120.821;3;11;12;19;20;26;28;Novembro;;;;;;;;;;;
274;274;2020-03-07;SÃO PAULO, SP;1.500.000,00;516.223,94;1.705,60;20,00;4,00;2,00;3;146;4.252;45.962;172.940;2;3;4;6;8;10;30;Março;;;;;;;;;;;
275;275;2020-03-10;SÃO PAULO, SP;300.000,00;0,00;1.939,35;20,00;4,00;2,00;0;70;3.078;35.718;87.955;7;10;12;14;24;27;28;Novembro;;;;;;;;;;;
276;276;2020-03-12;SÃO PAULO, SP;700.000,00;0,00;1.890,76;20,00;4,00;2,00;0;77;2.943;37.249;110.103;4;5;15;16;18;27;30;Agosto;;;;;;;;;;;
277;277;2020-03-14;SÃO PAULO, SP;1.000.000,00;0,00;2.580,76;20,00;4,00;2,00;0;68;2.382;34.304;116.429;2;3;10;13;21;22;31;Agosto;;;;;;;;;;;
278;278;2020-03-17;SÃO PAULO, SP;1.500.000,00;0,00;1.835,50;20,00;4,00;2,00;0;97;3.514;42.217;167.849;5;8;13;21;22;24;26;Setembro;;;;;;;;;;;
279;279;2020-03-19;SÃO PAULO, SP;1.900.000,00;0,00;1.494,15;20,00;4,00;2,00;0;164;4.873;54.305;122.281;3;7;10;13;24;25;28;Novembro;;;;;;;;;;;
280;280;2020-03-21;SÃO PAULO, SP;2.000.000,00;550.806,65;848,72;20,00;4,00;2,00;4;232;5.975;46.553;87.972;2;3;10;13;17;24;28;Junho;;;;;;;;;;;
281;281;2020-03-24;SÃO PAULO, SP;100.000,00;155.162,86;3.911,67;20,00;4,00;2,00;1;17;1.031;14.020;43.607;5;7;9;14;24;26;31;Maio;;;;;;;;;;;
282;282;2020-03-26;SÃO PAULO, SP;100.000,00;0,00;1.778,63;20,00;4,00;2,00;0;39;860;12.508;43.586;7;8;16;22;23;25;31;Novembro;;;;;;;;;;;
