idduplasena;dsconc;dsdata;dslocal;dspremioest;ds01pr06;ds01pr05;ds01pr04;ds01pr03;ds02pr06;ds02pr05;ds02pr04;ds02pr03;ds01gan06;ds01gan05;ds01gan04;ds01gan03;ds02gan06;ds02gan05;ds02gan04;ds02gan03;ds01d01;ds01d02;ds01d03;ds01d04;ds01d05;ds01d06;ds02d01;ds02d02;ds02d03;ds02d04;ds02d05;ds02d06;dscidadesgan
1;1;2001-11-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.317,59;97,16;0,00;0;0;0;0;0;55;1.307;0;7;15;24;41;48;50;9;37;41;43;44;49;
2;2;2001-11-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.655,40;45,98;0,00;0;0;0;0;0;35;2.014;0;4;9;11;32;38;42;9;13;19;24;29;46;
3;3;2001-11-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.719,93;78,13;0,00;0;0;0;0;0;21;1.264;0;11;34;42;44;45;47;12;24;30;40;47;48;
4;4;2001-11-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;10.668,17;81,59;0,00;0;0;0;0;0;8;1.042;0;29;38;43;44;46;50;2;7;11;44;46;49;
5;5;2001-11-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.943,35;55,26;0,00;0;0;0;0;0;34;1.804;0;7;12;16;25;32;40;3;10;12;19;26;49;
6;6;2001-11-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.283,67;100,09;0,00;0;0;0;0;0;16;1.160;0;9;13;14;16;31;41;2;31;35;36;42;47;
7;7;2001-11-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.475,19;59,40;0,00;0;0;0;0;0;35;2.040;0;6;9;17;23;24;32;5;8;28;30;32;45;
8;8;2001-11-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.070,93;86,89;0,00;0;0;0;0;0;22;1.279;0;11;24;29;32;38;39;2;14;17;30;31;39;
9;9;2001-12-04;SÃO PAULO, SP;0,00;2.979.726,32;0,00;0,00;0,00;0,00;8.219,01;107,08;0,00;1;0;0;0;0;17;1.300;0;10;18;22;37;42;44;10;26;31;37;42;46;
10;10;2001-12-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.082,65;70,94;0,00;0;0;0;0;0;31;1.342;0;17;19;31;34;39;44;4;5;11;20;24;40;
11;11;2001-12-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.862,55;81,11;0,00;0;0;0;0;0;12;1.159;0;2;4;8;27;36;43;5;8;17;40;43;45;
12;12;2001-12-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.381,45;72,98;0,00;0;0;0;0;0;22;1.316;0;12;21;28;29;45;48;15;18;19;20;25;31;
13;13;2001-12-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.821,55;65,86;0,00;0;0;0;0;0;26;1.503;0;1;3;31;33;37;46;4;13;31;43;47;49;
14;14;2001-12-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.807,55;45,86;0,00;0;0;0;0;0;36;2.196;0;6;7;33;38;39;47;5;12;14;16;19;26;
15;15;2001-12-28;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.926,93;66,57;0,00;0;0;0;0;0;35;2.057;0;4;30;32;40;43;44;7;13;20;23;28;34;
16;16;2002-01-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;236.934,09;5.641,29;81,66;0,00;0;0;0;0;1;28;1.927;0;19;21;25;26;41;46;5;6;22;27;31;38;
17;17;2002-01-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;8.433,52;87,98;0,00;0;0;0;0;0;14;1.337;0;3;5;14;43;44;47;1;2;27;36;37;43;
18;18;2002-01-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.600,88;86,68;0,00;0;0;0;0;0;17;1.485;0;15;27;28;35;41;50;1;13;14;22;23;38;
19;19;2002-01-15;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.150,68;58,99;0,00;0;0;0;0;0;62;2.252;0;5;10;19;25;33;34;15;24;27;32;39;47;
20;20;2002-01-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.385,48;60,10;0,00;0;0;0;0;0;40;2.245;0;7;13;16;26;45;49;18;25;39;43;47;48;
21;21;2002-01-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.260,20;71,18;0,00;0;0;0;0;0;24;1.767;0;6;14;17;30;37;44;6;9;14;20;24;26;
22;22;2002-01-25;SÃO PAULO, SP;0,00;4.431.627,73;0,00;0,00;0,00;0,00;2.171,95;41,64;0,00;1;0;0;0;0;57;2.962;0;2;17;27;29;34;42;7;13;28;34;42;43;
23;23;2002-01-29;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.568,76;73,07;0,00;0;0;0;0;0;17;1.059;0;8;9;10;11;22;42;4;7;8;20;34;37;
24;24;2002-02-01;SÃO PAULO, SP;0,00;541.936,00;0,00;0,00;0,00;0,00;2.933,99;67,31;0,00;1;0;0;0;0;28;1.216;0;19;24;25;26;42;44;1;6;11;15;16;36;
25;25;2002-02-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.815,56;66,20;0,00;0;0;0;0;0;19;1.091;0;6;15;30;35;42;46;19;23;24;33;41;44;
26;26;2002-02-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;9.541,00;74,85;0,00;0;0;0;0;0;9;1.143;0;2;4;8;17;23;38;4;19;26;39;48;49;
27;27;2002-02-15;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.849,09;71,89;0,00;0;0;0;0;0;20;1.344;0;5;7;19;29;32;35;3;28;37;42;44;47;
28;28;2002-02-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;11.130,19;127,88;0,00;0;0;0;0;0;7;607;0;1;10;13;22;26;38;27;30;31;34;40;49;
29;29;2002-02-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.614,58;89,92;0,00;0;0;0;0;0;11;928;0;1;12;19;23;39;50;16;25;35;41;45;47;
30;30;2002-02-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.986,32;45,26;0,00;0;0;0;0;0;27;1.775;0;8;18;21;33;36;46;3;5;13;15;28;43;
31;31;2002-03-01;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.600,37;114,89;0,00;0;0;0;0;0;19;758;0;5;19;20;29;32;43;31;35;36;46;47;49;
32;32;2002-03-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.174,29;60,30;0,00;0;0;0;0;0;27;1.416;0;18;20;24;30;39;47;6;12;14;25;26;39;
33;33;2002-03-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.426,25;64,18;0,00;0;0;0;0;0;21;1.443;0;11;16;17;19;24;32;13;21;22;25;33;49;
34;34;2002-03-12;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.610,00;71,73;0,00;0;0;0;0;0;29;1.454;0;1;7;29;40;41;45;1;15;22;24;29;45;
35;35;2002-03-15;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;175.661,04;1.377,74;36,53;0,00;0;0;0;0;1;85;3.194;0;1;2;6;26;30;45;7;8;13;28;33;47;
36;36;2002-03-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.912,09;71,88;0,00;0;0;0;0;0;19;1.557;0;9;12;14;17;22;50;2;13;41;42;44;45;
37;37;2002-03-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.344,66;77,08;0,00;0;0;0;0;0;39;1.686;0;11;25;33;45;47;48;10;11;29;30;45;47;
38;38;2002-03-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;582,55;56,96;0,00;0;0;0;0;0;224;2.291;0;2;18;19;31;39;46;15;22;24;29;45;48;
39;39;2002-04-02;SÃO PAULO, SP;0,00;4.268.873,40;0,00;0,00;0,00;0,00;2.536,43;59,55;0,00;1;0;0;0;0;64;2.716;0;3;12;15;37;44;50;7;22;28;34;44;46;
40;40;2002-04-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.136,95;65,86;0,00;0;0;0;0;0;12;1.114;0;4;9;15;21;23;32;6;8;9;15;36;41;
41;41;2002-04-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.696,49;85,99;0,00;0;0;0;0;0;13;858;0;15;22;25;32;34;47;6;18;26;28;33;43;
42;42;2002-04-12;SÃO PAULO, SP;0,00;803.642,47;0,00;0,00;0,00;0,00;2.601,16;68,25;0,00;1;0;0;0;0;30;1.139;0;5;6;14;39;42;48;4;21;27;38;43;45;
43;43;2002-04-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.037,58;82,09;0,00;0;0;0;0;0;16;784;0;1;10;32;34;39;43;5;11;26;32;39;41;
44;44;2002-04-19;SÃO PAULO, SP;0,00;420.070,34;0,00;0,00;0,00;0,00;5.200,68;81,31;0,00;1;0;0;0;0;14;892;0;3;9;15;28;35;45;3;4;30;33;42;45;
45;45;2002-04-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;14.867,47;133,44;0,00;0;0;0;0;0;4;444;0;2;19;23;28;44;47;21;30;36;42;46;49;
46;46;2002-04-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.957,24;110,69;0,00;0;0;0;0;0;13;580;0;1;9;14;26;29;41;16;20;30;34;39;42;
47;47;2002-04-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.027,66;59,42;0,00;0;0;0;0;0;17;1.148;0;3;13;21;26;34;37;6;9;22;28;30;44;
48;48;2002-05-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.784,17;76,09;0,00;0;0;0;0;0;11;833;0;16;23;32;41;42;43;2;18;19;39;42;49;
49;49;2002-05-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.909,98;105,58;0,00;0;0;0;0;0;10;652;0;2;15;21;33;41;45;29;32;35;41;45;49;
50;50;2002-05-10;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.642,88;62,30;0,00;0;0;0;0;0;16;1.188;0;7;8;26;33;36;40;2;13;15;34;35;42;
51;51;2002-05-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;1.997,74;63,65;0,00;0;0;0;0;0;37;1.157;0;4;7;11;12;22;28;33;41;42;45;47;48;
52;52;2002-05-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.342,57;65,45;0,00;0;0;0;0;0;15;1.220;0;3;17;26;39;42;48;7;8;14;34;43;48;
53;53;2002-05-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.468,78;60,17;0,00;0;0;0;0;0;20;1.480;0;4;5;20;23;29;42;3;8;25;34;35;48;
54;54;2002-05-24;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.688,34;66,90;0,00;0;0;0;0;0;28;1.538;0;4;5;23;27;34;36;10;24;32;37;44;45;
55;55;2002-05-28;SÃO PAULO, SP;0,00;2.503.788,98;0,00;0,00;0,00;0,00;2.003,53;51,64;0,00;1;0;0;0;0;52;2.010;0;4;27;33;43;44;45;6;17;24;26;42;46;
56;56;2002-05-31;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.989,18;79,85;0,00;0;0;0;0;0;12;747;0;3;10;18;33;40;47;14;15;18;39;40;41;
57;57;2002-06-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.364,73;77,81;0,00;0;0;0;0;0;10;815;0;1;18;23;35;38;46;11;15;30;44;47;48;
58;58;2002-06-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.736,41;101,78;0,00;0;0;0;0;0;13;730;0;14;23;25;32;33;42;9;14;29;40;48;49;
59;59;2002-06-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.742,00;65,95;0,00;0;0;0;0;0;26;1.077;0;2;16;28;33;38;46;23;28;32;35;38;43;
60;60;2002-06-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.945,51;59,56;0,00;0;0;0;0;0;15;1.241;0;12;15;29;35;36;43;3;7;21;29;34;49;
61;61;2002-06-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;106.661,45;3.091,64;75,86;0,00;0;0;0;0;1;23;934;0;1;9;18;28;32;36;10;17;24;30;38;41;
62;62;2002-06-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.844,62;53,70;0,00;0;0;0;0;0;26;1.372;0;4;8;23;28;38;43;5;11;27;42;47;48;
63;63;2002-06-25;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.427,01;69,20;0,00;0;0;0;0;0;34;1.188;0;5;9;10;16;40;47;12;24;28;30;41;46;
64;64;2002-06-28;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.170,18;79,96;0,00;0;0;0;0;0;19;1.224;0;10;11;12;26;37;42;15;16;32;42;44;49;
65;65;2002-07-02;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.938,30;63,63;0,00;0;0;0;0;0;24;1.480;0;1;5;8;14;29;44;11;14;18;23;28;35;
66;66;2002-07-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.272,81;63,27;0,00;0;0;0;0;0;25;1.682;0;6;17;19;31;33;47;13;15;24;39;47;49;
67;67;2002-07-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.219,12;83,04;0,00;0;0;0;0;0;13;1.126;0;34;35;40;43;46;48;2;12;18;33;34;49;
68;68;2002-07-12;SÃO PAULO, SP;0,00;3.112.887,14;0,00;0,00;0,00;0,00;5.138,03;55,14;0,00;1;0;0;0;0;22;2.042;0;3;12;15;21;24;28;9;11;13;18;38;43;
69;69;2002-07-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.365,59;63,67;0,00;0;0;0;0;0;10;996;0;2;9;14;18;37;47;14;25;27;35;45;49;
70;70;2002-07-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.664,11;101,07;0,00;0;0;0;0;0;12;670;0;17;23;25;26;29;46;2;14;20;22;40;49;
71;71;2002-07-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.231,75;64,28;0,00;0;0;0;0;0;21;1.052;0;15;25;33;36;45;47;7;8;12;37;42;49;
72;72;2002-07-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.058,74;60,34;0,00;0;0;0;0;0;24;1.212;0;8;14;34;37;39;47;1;2;5;16;32;48;
73;73;2002-07-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.570,60;116,14;0,00;0;0;0;0;0;11;620;0;6;17;21;33;40;45;1;6;20;39;48;49;
74;74;2002-08-02;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.860,50;48,80;0,00;0;0;0;0;0;23;1.813;0;7;12;15;16;28;46;4;13;15;24;27;39;
75;75;2002-08-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.695,68;61,12;0,00;0;0;0;0;0;33;1.450;0;7;11;13;22;30;43;16;19;23;28;34;41;
76;76;2002-08-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;162.348,35;3.092,35;52,98;0,00;0;0;0;0;1;35;2.035;0;11;21;31;36;41;48;4;16;19;29;44;47;
77;77;2002-08-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;140.103,36;5.837,64;80,50;0,00;0;0;0;0;1;16;1.156;0;11;23;29;31;39;50;4;11;14;15;34;37;
78;78;2002-08-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.670,86;59,60;0,00;0;0;0;0;0;37;1.652;0;6;8;21;41;42;45;12;19;33;36;43;49;
79;79;2002-08-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.122,74;68,75;0,00;0;0;0;0;0;23;1.374;0;2;4;8;18;26;33;1;4;14;28;46;47;
80;80;2002-08-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.979,28;68,95;0,00;0;0;0;0;0;24;1.380;0;19;23;27;33;41;45;10;19;33;37;45;50;
81;81;2002-08-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;163.808,81;3.522,77;65,90;0,00;0;0;0;0;1;31;1.651;0;4;16;31;32;38;39;12;15;19;26;32;35;
82;82;2002-08-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;191.963,69;1.802,48;48,22;0,00;0;0;0;0;1;71;2.644;0;15;18;23;32;35;39;12;14;17;36;42;48;
83;83;2002-09-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.439,19;58,58;0,00;0;0;0;0;0;39;2.281;0;6;8;13;15;41;48;6;9;12;18;41;48;
84;84;2002-09-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;11.687,51;82,12;0,00;0;0;0;0;0;14;1.985;0;4;11;27;31;34;42;17;25;27;35;39;50;
85;85;2002-09-10;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;213.566,32;4.067,93;73,69;0,00;0;0;0;0;1;35;1.925;0;9;19;25;27;28;32;1;19;23;24;30;45;
86;86;2002-09-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.678,92;54,15;0,00;0;0;0;0;0;73;3.598;0;14;23;25;32;33;48;13;27;29;31;33;37;
87;87;2002-09-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;291.954,03;3.355,80;56,24;0,00;0;0;0;0;1;58;3.448;0;1;19;23;39;42;47;13;19;23;37;38;41;
88;88;2002-09-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;311.486,18;4.153,15;70,85;0,00;0;0;0;0;1;50;2.920;0;18;20;30;42;46;50;1;9;17;21;28;33;
89;89;2002-09-24;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.730,58;69,15;0,00;0;0;0;0;0;46;3.135;0;4;8;14;31;39;42;3;4;11;31;32;44;
90;90;2002-09-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.389,32;57,98;0,00;0;0;0;0;0;67;3.902;0;7;28;36;39;40;50;3;5;8;15;37;43;
91;91;2002-10-01;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;1.883,69;54,13;0,00;0;0;0;0;0;109;3.779;0;11;15;19;33;34;43;3;11;13;41;43;44;
92;92;2002-10-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.820,02;90,23;0,00;0;0;0;0;0;46;2.448;0;1;28;31;34;35;38;11;24;31;40;41;45;
93;93;2002-10-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.806,91;79,92;0,00;0;0;0;0;0;55;2.610;0;1;22;25;28;33;44;4;11;17;36;38;50;
94;94;2002-10-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.289,16;83,03;0,00;0;0;0;0;0;43;2.729;0;21;25;26;32;36;43;2;17;21;23;40;41;
95;95;2002-10-15;SÃO PAULO, SP;0,00;9.786.055,58;0,00;0,00;0,00;0,00;3.629,81;62,81;0,00;1;0;0;0;0;55;3.167;0;19;27;29;31;38;42;3;5;6;23;35;44;
96;96;2002-10-18;SÃO PAULO, SP;0,00;434.535,34;0,00;0,00;0,00;0,00;5.002,83;69,01;0,00;1;0;0;0;0;18;1.300;0;7;9;11;13;22;50;1;7;19;31;37;42;
97;97;2002-10-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.674,41;100,75;0,00;0;0;0;0;0;11;726;0;4;5;16;17;19;21;18;28;39;42;45;46;
98;98;2002-10-25;SÃO PAULO, SP;0,00;477.268,10;0,00;0,00;0,00;0,00;4.278,46;62,02;0,00;1;0;0;0;0;19;1.306;0;11;15;17;20;27;33;7;19;34;37;38;45;
99;99;2002-10-29;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.887,18;58,39;0,00;0;0;0;0;0;23;1.133;0;12;21;30;38;43;45;1;7;8;17;27;32;
100;100;2002-11-01;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.127,28;60,29;0,00;0;0;0;0;0;25;1.292;0;9;11;22;26;33;47;2;4;12;26;33;39;
101;101;2002-11-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;99.675,57;13.290,08;79,00;0,00;0;0;0;0;1;5;838;0;3;19;25;37;39;49;7;8;9;22;32;42;
102;102;2002-11-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.757,61;50,38;0,00;0;0;0;0;0;30;1.636;0;5;19;26;30;35;40;13;25;27;32;35;38;
103;103;2002-11-12;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.500,40;66,39;0,00;0;0;0;0;0;23;1.208;0;7;15;33;37;41;45;6;14;17;43;45;48;
104;104;2002-11-15;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.626,49;53,04;0,00;0;0;0;0;0;17;1.158;0;8;24;28;29;30;38;8;13;16;19;36;49;
105;105;2002-11-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.998,66;94,39;0,00;0;0;0;0;0;16;1.013;0;2;6;23;27;43;50;1;2;16;29;36;42;
106;106;2002-11-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;9.601,06;131,85;0,00;0;0;0;0;0;11;798;0;1;6;11;31;46;49;21;31;37;40;47;49;
107;107;2002-11-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.570,81;67,73;0,00;0;0;0;0;0;18;1.475;0;17;19;31;33;36;40;7;10;15;31;33;41;
108;108;2002-11-29;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.080,14;90,49;0,00;0;0;0;0;0;25;1.123;0;6;10;14;16;18;34;15;26;27;37;41;42;
109;109;2002-12-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.380,18;72,16;0,00;0;0;0;0;0;50;1.643;0;26;32;41;44;45;46;28;33;43;44;46;49;
110;110;2002-12-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.318,21;94,66;0,00;0;0;0;0;0;29;1.318;0;14;20;27;34;38;43;1;19;21;36;37;39;
111;111;2002-12-10;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.411,83;84,66;0,00;0;0;0;0;0;22;1.401;0;6;7;16;47;48;49;12;13;18;22;39;40;
112;112;2002-12-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.908,79;62,93;0,00;0;0;0;0;0;33;2.042;0;14;16;37;45;46;47;6;10;12;23;27;32;
113;113;2002-12-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.136,54;58,27;0,00;0;0;0;0;0;40;2.145;0;21;30;31;42;45;50;7;13;14;16;21;46;
114;114;2002-12-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.866,45;76,47;0,00;0;0;0;0;0;35;1.763;0;14;28;29;30;33;39;2;12;22;40;41;44;
115;115;2002-12-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.625,93;68,76;0,00;0;0;0;0;0;42;2.815;0;3;8;23;26;38;44;9;19;22;23;33;35;
116;116;2003-01-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.876,50;68,27;0,00;0;0;0;0;0;36;3.087;0;5;8;10;34;38;47;5;12;32;41;44;47;
117;117;2003-01-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.378,53;54,77;0,00;0;0;0;0;0;41;3.266;0;13;14;26;28;44;46;7;11;15;23;24;32;
118;118;2003-01-10;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.603,20;72,56;0,00;0;0;0;0;0;43;2.718;0;3;5;16;18;33;49;11;15;26;38;45;46;
119;119;2003-01-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.108,72;91,05;0,00;0;0;0;0;0;48;2.158;0;11;20;27;36;38;45;9;33;35;38;40;44;
120;120;2003-01-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.395,07;81,27;0,00;0;0;0;0;0;58;2.414;0;29;34;36;38;40;50;3;25;36;40;44;49;
121;121;2003-01-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.222,07;90,15;0,00;0;0;0;0;0;33;2.269;0;7;9;12;15;31;39;20;25;29;46;49;50;
122;122;2003-01-24;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.343,21;56,29;0,00;0;0;0;0;0;77;4.556;0;3;9;17;18;22;38;8;19;21;23;28;35;
123;123;2003-01-28;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.748,50;66,21;0,00;0;0;0;0;0;72;4.061;0;12;32;35;38;39;49;19;28;31;43;45;48;
124;124;2003-01-31;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;465.487,75;4.251,03;86,59;0,00;0;0;0;0;1;73;3.570;0;11;28;36;37;46;47;6;9;22;30;38;48;
125;125;2003-02-04;SÃO PAULO, SP;0,00;11.443.167,80;0,00;0,00;0,00;0,00;4.378,15;76,82;0,00;1;0;0;0;0;68;3.861;0;7;8;11;15;41;46;24;31;35;39;43;49;
126;126;2003-02-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.434,27;91,92;0,00;0;0;0;0;0;19;1.119;0;1;4;25;42;43;47;9;20;24;26;36;39;
127;127;2003-02-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;6.579,09;100,53;0,00;0;0;0;0;0;15;978;0;1;16;17;31;42;44;9;14;30;31;38;49;
128;128;2003-02-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.021,67;63,11;0,00;0;0;0;0;0;36;1.717;0;4;12;21;22;28;42;3;4;27;35;44;49;
129;129;2003-02-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;14.937,11;101,24;0,00;0;0;0;0;0;7;1.029;0;3;11;14;27;33;49;6;11;31;34;37;44;
130;130;2003-02-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;164.672,85;1.306,93;38,36;0,00;0;0;0;0;1;84;2.851;0;1;4;16;18;39;45;2;5;10;13;45;50;
131;131;2003-02-25;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;8.710,35;92,07;0,00;0;0;0;0;0;12;1.131;0;4;23;29;30;40;47;5;6;26;31;32;43;
132;132;2003-02-28;SÃO PAULO, SP;0,00;2.345.136,62;0,00;0,00;0,00;174.487,51;2.908,13;62,95;0,00;1;0;0;0;1;40;1.841;0;4;7;19;37;44;46;9;12;16;21;23;47;
